,Topic 1,Topic 2,Topic 3,Topic 4
AQP12A,0.0,0.0,0.0,0.00043243730683783805
AQP12B,0.0,0.0,0.0,0.0004191157784281416
AQP2,6.711374482429396e-05,0.0,0.0,0.0
AQP4,0.0006682473826763433,0.0,0.0,0.0
AQP5,0.0005647830353921924,0.0,0.0,0.0
AQP9,0.0006006198484179877,0.0,0.0,0.0
AQPEP,0.00016563286880560206,0.0,0.0,0.0
ARC,0.00030846633147472145,0.0,0.0,0.0
AREG,0.0007706841510923709,0.0,0.0,0.0
AREGB,0.0002511145858975975,0.0,0.0,0.0
ARG1,0.0,0.0,0.001601516297999574,0.0
ARHGAP29,0.0,0.0025926757530234444,0.0,0.0
ARHGAP31,0.0005963810855869797,0.0,0.0,0.0
ARHGAP36,0.0,0.0,0.0,0.0004826492216128477
ARHGAP44,0.0005882889020005098,0.0,0.0,0.0
ARHGEF15,0.0005955461777566296,0.0,0.0,0.0
ARHGEF26,0.0,0.002520477796647385,0.0,0.0
ARHGEF4,0.0006086478083252,0.0,0.0,0.0
ARL14,0.00019646023484929688,0.0,0.0,0.0
ARL4D,0.0007042768667399116,0.0,0.0,0.0
ARMC9,0.0,0.0026236886208825766,0.0,0.0
ARNTL2,0.0,0.0023832768692385845,0.0,0.0
ARRB1,0.0007658673751480436,0.0,0.0,0.0
ARSE,0.0004923387251895096,0.0,0.0,0.0
ART3,0.0,0.0,0.001272305522292666,0.0
ARTN,0.0005107709211364689,0.0,0.0,0.0
ASB11,6.08840479362973e-05,0.0,0.0,0.0
ASCL1,0.0,0.0,0.0,0.002634588426256118
ASCL3,0.0,0.0,0.0004072663292217953,0.0
ASGR2,0.0003628637878059913,0.0,0.0,0.0
ASH2L,0.0007900797022281956,0.0,0.0,0.0
ASIC2,8.49679276579339e-05,0.0,0.0,0.0
ASNS,0.0008176958843090056,0.0,0.0,0.0
ASPG,0.0,0.0,0.00281137737748033,0.0
ASPN,0.0,0.0025934200618520638,0.0,0.0
ASPSCR1,0.0008207786209133751,0.0,0.0,0.0
ASRGL1,0.0,0.0,0.005083712285393143,0.0
ATCAY,0.0,0.0,0.00017723202151027394,0.0
ATF3,0.0008675976830922365,0.0,0.0,0.0
ATF5,0.0008291919228961334,0.0,0.0,0.0
ATHL1,0.0008394677115773651,0.0,0.0,0.0
ATOH8,0.0006666417906949009,0.0,0.0,0.0
ATP10A,0.0005344052351033016,0.0,0.0,0.0
ATP10B,0.0,0.0,0.0,0.0048039480911274525
ATP11A,0.0,0.0030615903150535222,0.0,0.0
ATP11B,0.0007653535857139821,0.0,0.0,0.0
ATP12A,0.0,0.0,0.0,0.0038970594263135028
ATP13A4,0.0006629168172979544,0.0,0.0,0.0
ATP2A3,0.0007516739420320924,0.0,0.0,0.0
ATP2C2,0.0,0.0026410558268836907,0.0,0.0
ATP4A,0.0,0.0,0.0,0.0012112343523277833
ATP4B,0.0,0.0,0.0,0.0007839207102629055
ATP6V1B1,0.0004616398065043302,0.0,0.0,0.0
ATP6V1C2,0.000497990408964187,0.0,0.0,0.0
ATP8A1,0.0006134645842695273,0.0,0.0,0.0
AXL,0.0,0.0,0.005203550517554235,0.0
AZGP1,0.0006712016719221974,0.0,0.0,0.0
AZU1,0.00028219884665832315,0.0,0.0,0.0
B3GALT5,0.0,0.0,0.0008778954018850876,0.0
B3GNT3,0.0005484702208607373,0.0,0.0,0.0
B3GNT5,0.0007789047820373562,0.0,0.0,0.0
B3GNT6,0.0,0.0,0.0,0.003535328693342515
B3GNT7,0.0,0.00270432207731632,0.0,0.0
B3GNT8,0.0006630452646564698,0.0,0.0,0.0
B4GALNT4,0.0005462866157659756,0.0,0.0,0.0
B4GALT4,0.0007827582027928181,0.0,0.0,0.0
BAALC,0.0005645903643544194,0.0,0.0,0.0
BACE2,0.0008354858434633877,0.0,0.0,0.0
BAI1,0.0,0.0013546420680868906,0.0,0.0
BAMBI,0.0006685685010726318,0.0,0.0,0.0
BARX1,0.0003437251313871974,0.0,0.0,0.0
BARX2,0.0004405744397078054,0.0,0.0,0.0
BASP1,0.0,0.003262057492894952,0.0,0.0
BATF2,0.0006001702826631839,0.0,0.0,0.0
BCAN,0.00017911984144971854,0.0,0.0,0.0
BCAS1,0.00045566700433336433,0.0,0.0,0.0
BCAT1,0.0,0.0,0.004720983536706313,0.0
BCHE,0.0004977335142471562,0.0,0.0,0.0
BCL11A,0.0005824445471880593,0.0,0.0,0.0
BCL2A1,0.0007547566786364619,0.0,0.0,0.0
BCL6B,0.0006191804917234624,0.0,0.0,0.0
BEST2,0.0,0.0,0.0,0.0006527548920751252
BEX1,0.0,0.0,0.0,0.005466950312748498
BEX5,0.0,0.0022391290594293385,0.0,0.0
BHLHE41,0.0006475673579553647,0.0,0.0,0.0
BHMT,0.0,0.0005091072387755128,0.0,0.0
BHMT2,0.00044429941310475185,0.0,0.0,0.0
BIRC3,0.0,0.0,0.005250383849663167,0.0
BMP2,0.0006230981361581819,0.0,0.0,0.0
BMP4,0.0006230339124789242,0.0,0.0,0.0
BMP5,0.0004818702654705049,0.0,0.0,0.0
BMP6,0.000519441117836258,0.0,0.0,0.0
BMP7,0.0005638839038825847,0.0,0.0,0.0
BMPER,0.00040165489007764065,0.0,0.0,0.0
BNC1,0.0,0.0,0.001971132301408306,0.0
BPIFA1,0.0,0.0,0.0038352825794697363,0.0
BPIFA2,0.0,0.0,0.0,0.0031613011649164226
BPIFB1,0.0006771102504139055,0.0,0.0,0.0
BPIFB2,0.0,0.0,0.0,0.0031203118467327414
BPIFB4,0.0,0.0,0.0,0.0016385479943926613
BRDT,0.0,0.0,0.0,0.0027196412614872564
BRINP1,0.00027025324231639143,0.0,0.0,0.0
BRINP2,7.180207341010589e-05,0.0,0.0,0.0
BTBD16,0.0002228561670242106,0.0,0.0,0.0
BTG2,0.0009385006249927347,0.0,0.0,0.0
BTK,0.0006566871204099577,0.0,0.0,0.0
BTN1A1,0.0,0.0,0.00037374835624187305,0.0
BTNL3,0.0,0.0,0.0,0.0012276300796012559
BTNL9,0.0005809031788858746,0.0,0.0,0.0
C10orf10,0.0009498682162213471,0.0,0.0,0.0
C10orf128,0.0006825692631508099,0.0,0.0,0.0
C10orf54,0.0008711942091306676,0.0,0.0,0.0
C10orf99,0.0,0.0,0.0,0.003846847511538493
C11orf53,0.0,0.0,0.0,0.0026929982046678637
C11orf86,0.0,0.0,0.0,0.0018711623750850529
C11orf88,0.00042066509913791915,0.0,0.0,0.0
C11orf96,0.0007906577153415149,0.0,0.0,0.0
C12orf54,0.0,0.0,0.0022479999412287595,0.0
C12orf75,0.0,0.0029851746086486204,0.0,0.0
C14orf132,0.000566388627373635,0.0,0.0,0.0
C14orf23,0.0,0.0,0.00012718463719778726,0.0
C15orf48,0.0008097321480810511,0.0,0.0,0.0
C15orf59,0.00048668704141483225,0.0,0.0,0.0
C16orf74,0.0,0.0023344005894925923,0.0,0.0
C16orf89,0.0008267514230843409,0.0,0.0,0.0
C17orf72,0.000509036881796511,0.0,0.0,0.0
C19orf33,0.0,0.0,0.007174223668647747,0.0
C19orf59,0.0006067853216267268,0.0,0.0,0.0
C19orf77,0.0002993465690201284,0.0,0.0,0.0
C1QB,0.0011072162304027063,0.0,0.0,0.0
C1QTNF1,0.0007455084688233535,0.0,0.0,0.0
C1QTNF3,0.0005970233223795567,0.0,0.0,0.0
C1QTNF9B,0.00015766913257764755,0.0,0.0,0.0
C1orf110,0.0,0.0,0.0,0.004897198789995327
C1orf115,0.0006755688821117208,0.0,0.0,0.0
C1orf116,0.0007857767157179299,0.0,0.0,0.0
C1orf162,0.0008064567404389085,0.0,0.0,0.0
C1orf189,0.00023955432363121198,0.0,0.0,0.0
C1orf192,0.0005407633793498136,0.0,0.0,0.0
C1orf194,0.00046677770084494597,0.0,0.0,0.0
C1orf61,0.0,0.0011879168904761965,0.0,0.0
C1orf64,0.0,0.0,0.0,0.0005338858693424494
C1orf87,0.0002599774536351598,0.0,0.0,0.0
C2,0.0,0.0034516081412499676,0.0,0.0
C20ORF135,2.633170849565601e-06,0.0,0.0,0.0
C20orf166,1.3165854247828003e-05,0.0,0.0,0.0
C20orf85,0.00047024577952486165,0.0,0.0,0.0
C21orf37,0.0,0.0,0.0,0.000802365903445562
C21orf62,0.0,0.0,0.0,0.0008269594943557709
C2CD4B,0.00044641879452025587,0.0,0.0,0.0
C2orf40,0.0005000455667004333,0.0,0.0,0.0
C2orf54,0.0006175748997420199,0.0,0.0,0.0
C2orf82,0.0003652400639385261,0.0,0.0,0.0
C3,0.0,0.0,0.00839418605505396,0.0
C3AR1,0.0007025428273999538,0.0,0.0,0.0
C3orf72,0.0,0.0,0.0,0.0013946615511997574
C4A,0.0009352894410298499,0.0,0.0,0.0
C4B,0.00092803216527373,0.0,0.0,0.0
C4BPA,0.0007724824141115865,0.0,0.0,0.0
C4BPB,0.0,0.0,0.0031915538381293114,0.0
C4orf26,0.00014533818616016962,0.0,0.0,0.0
C5,0.000547057299917068,0.0,0.0,0.0
C5AR1,0.0007358749169346988,0.0,0.0,0.0
C5AR2,0.0004631811748065149,0.0,0.0,0.0
C5orf38,0.0007006161170222229,0.0,0.0,0.0
C5orf49,0.00044429941310475185,0.0,0.0,0.0
C6,0.0003021724109074671,0.0,0.0,0.0
C6orf118,0.0002604912430692214,0.0,0.0,0.0
C6orf141,0.0004928525146235712,0.0,0.0,0.0
C6orf15,0.0,0.0,0.0,0.0024029987785183183
C6orf203,0.000715451786930751,0.0,0.0,0.0
C6orf58,6.563660020136693e-05,0.0,0.0,0.0
C7,0.0008020895302493851,0.0,0.0,0.0
C7orf10,0.0005550852598242801,0.0,0.0,0.0
C8A,0.0,0.0,0.0,0.0010401039489109137
C8B,0.0,0.0,0.0,0.004225998704737545
C8orf22,0.0,0.0,0.00033242482791046203,0.0
C8orf4,0.0009632267415069483,0.0,0.0,0.0
C8orf87,3.4552339440641296e-05,0.0,0.0,0.0
C9orf116,0.0006134003605902696,0.0,0.0,0.0
C9orf117,0.0004636307405613188,0.0,0.0,0.0
C9orf135,0.00033800922393326235,0.0,0.0,0.0
C9orf152,0.0005046696716069876,0.0,0.0,0.0
C9orf24,0.0005108993684949842,0.0,0.0,0.0
CA12,0.0006191804917234624,0.0,0.0,0.0
CA2,0.0,0.0028328394017245635,0.0,0.0
CA3,0.0004554743332955912,0.0,0.0,0.0
CA4,0.0005116700526460766,0.0,0.0,0.0
CA5A,0.0,0.0,0.0,0.0005123664772960166
CA6,0.0,0.0,0.000513789202253877,0.0
CA8,0.0,0.0,0.0028072450246471887,0.0
CA9,0.0005411487214253597,0.0,0.0,0.0
CABP7,0.0,0.0,0.001079921540394208,0.0
CABYR,0.0005401853662364944,0.0,0.0,0.0
CACNA1A,0.0,0.0,0.0016671747930150382,0.0
CACNA2D2,0.000629456280404694,0.0,0.0,0.0
CACNG4,0.0,0.001840923836118082,0.0,0.0
CACNG6,0.0002468115993873318,0.0,0.0,0.0
CACNG7,0.0,0.0,0.00014417319884514512,0.0
CADM1,0.0,0.003060846006224903,0.0,0.0
CALB1,0.0,0.0,0.0,0.00412762434109671
CALB2,0.0004531622808423141,0.0,0.0,0.0
CALCA,0.0,0.0,0.0,0.0044852561422493295
CALCB,0.0,0.0,0.0009265653352531939,0.0
CALCRL,0.0007240577599512825,0.0,0.0,0.0
CALHM3,0.0,0.00027837150190356983,0.0,0.0
CALML3,0.0,0.0,0.0,0.0075410098128427736
CALML5,0.0,0.0,0.0,0.0050498840002295405
CALY,0.0,0.0,0.0,0.003036283744456195
CAMK2B,0.0,0.0,0.0017080391710316556,0.0
CAMK2N1,0.0,0.0028879182550423823,0.0,0.0
CAMP,0.00036183620893786813,0.0,0.0,0.0
CAPN12,0.0,0.002433393663698942,0.0,0.0
CAPN13,0.0006272084516306746,0.0,0.0,0.0
CAPN3,0.0006431359240865835,0.0,0.0,0.0
CAPN5,0.0,0.0023872465163245534,0.0,0.0
CAPN6,0.0,0.0,0.0018356829585442363,0.0
CAPN8,0.0007281680754237751,0.0,0.0,0.0
CAPNS2,0.0,0.0,0.0025046649671983017,0.0
CAPS,0.0008194941473282211,0.0,0.0,0.0
CAPSL,0.0003586250249749833,0.0,0.0,0.0
CARD14,0.0004590708593340223,0.0,0.0,0.0
CARD16,0.0008399815010114266,0.0,0.0,0.0
CARD18,0.0,0.0,0.0,0.001935720551224351
CARTPT,0.0,0.0,0.0,0.00044473410229294247
CASP14,0.0,0.0,0.0,0.0021642360000983744
CASR,0.0,0.0,0.0,0.0009714468409532476
CATSPERD,0.00025079346750130906,0.0,0.0,0.0
CAV1,0.0,0.0037458582314974127,0.0,0.0
CAV2,0.0,0.0035835989068584337,0.0,0.0
CBLC,0.0006405669769162756,0.0,0.0,0.0
CBLN1,0.0,0.0,0.0008636617421264904,0.0
CBR1,0.0009705482409423258,0.0,0.0,0.0
CBR3,0.000664072843524593,0.0,0.0,0.0
CBS,0.0007345262196702872,0.0,0.0,0.0
CCBE1,0.0,0.0017230749382533802,0.0,0.0
CCDC114,0.0004286930590451313,0.0,0.0,0.0
CCDC17,0.00045207047829493323,0.0,0.0,0.0
CCDC19,0.0004992106588700833,0.0,0.0,0.0
CCDC3,0.0006812205658863982,0.0,0.0,0.0
CCDC37,0.000307502976285856,0.0,0.0,0.0
CCDC42B,0.00033518338204592367,0.0,0.0,0.0
CCDC58,0.0,0.0031774543893752396,0.0,0.0
CCDC68,0.0005324143010463129,0.0,0.0,0.0
CCDC69,0.0007467287187292497,0.0,0.0,0.0
CCDC78,0.000554699917748734,0.0,0.0,0.0
CCDC80,0.0,0.0033255718462704546,0.0,0.0
CCDC91,0.0,0.002927118520016325,0.0,0.0
CCKBR,0.0,0.0,0.0,0.0012573473352844248
CCL13,0.0006677335932422817,0.0,0.0,0.0
CCL14,0.0,0.002777760548406745,0.0,0.0
CCL15-CCL14,0.0005031283033048029,0.0,0.0,0.0
CCL17,0.0005015869350026181,0.0,0.0,0.0
CCL18,0.0009761357010377455,0.0,0.0,0.0
CCL19,0.0007768496243011099,0.0,0.0,0.0
CCL2,0.0009604651232988673,0.0,0.0,0.0
CCL20,0.0,0.0028722877696413796,0.0,0.0
CCL21,0.0009158938898940252,0.0,0.0,0.0
CCL23,0.0005110278158534996,0.0,0.0,0.0
CCL24,0.0004371063610278897,0.0,0.0,0.0
CCL26,0.00043139045357395463,0.0,0.0,0.0
CCL3,0.000734140877594741,0.0,0.0,0.0
CCL4,0.0007399852324071914,0.0,0.0,0.0
CCL4L1,0.000606721097947469,0.0,0.0,0.0
CCL4L2,0.0005514887337858491,0.0,0.0,0.0
CCL5,0.0,0.0,0.006041499842052292,0.0
CCNA1,0.0,0.0,0.0,0.005791790659354173
CCNB2,0.0,0.0026276582679685455,0.0,0.0
CCND1,0.0,0.0,0.006513965515974758,0.0
CCND2,0.0006934872886246185,0.0,0.0,0.0
CCNE1,0.0,0.0021783438384254394,0.0,0.0
CCNJL,0.0006309976487068787,0.0,0.0,0.0
CCNO,0.0004924029488687674,0.0,0.0,0.0
CCRL2,0.0005964453092662374,0.0,0.0,0.0
CCT2,0.0009770348325473532,0.0,0.0,0.0
CCT6A,0.0010180095399137644,0.0,0.0,0.0
CD101,0.0005311298274611589,0.0,0.0,0.0
CD163,0.0008896264050776268,0.0,0.0,0.0
CD2,0.0006841106314529946,0.0,0.0,0.0
CD200,0.0006268231095551283,0.0,0.0,0.0
CD207,0.00038527785186692775,0.0,0.0,0.0
CD22,0.0005412771687838752,0.0,0.0,0.0
CD27,0.0006417230031429142,0.0,0.0,0.0
CD274,0.0006304838592728171,0.0,0.0,0.0
CD300LF,0.0006129507948354657,0.0,0.0,0.0
CD300LG,0.0,0.0,0.0,0.004321298869514605
CD302,0.0007153875632514934,0.0,0.0,0.0
CD34,0.0007857124920386721,0.0,0.0,0.0
CD36,0.0007639406647703126,0.0,0.0,0.0
CD37,0.0008607899730909206,0.0,0.0,0.0
CD3D,0.0007027354984377269,0.0,0.0,0.0
CD3E,0.0007331775224058755,0.0,0.0,0.0
CD40,0.0008176316606297478,0.0,0.0,0.0
CD48,0.0007657389277895282,0.0,0.0,0.0
CD52,0.0010175599741589604,0.0,0.0,0.0
CD53,0.0009134533900822326,0.0,0.0,0.0
CD69,0.0006500078577671572,0.0,0.0,0.0
CD7,0.0006864869075855294,0.0,0.0,0.0
CD70,0.0,0.0014355236274635071,0.0,0.0
CD79A,0.0,0.002730869092203737,0.0,0.0
CD79B,0.00059079362549156,0.0,0.0,0.0
