Topic 1,Topic 2,Topic 3,Topic 4
NDRG2,ST3GAL5,PNCK,MAGEA2
PTGR1,C12orf75,SPRR2D,ALPPL2
HMOX1,RPL39L,NXPH4,KRT31
SFRP2,AHCYL2,ADAM23,CST4
TRIM22,GGH,FDCSP,CRCT1
NDUFA4L2,HBEGF,SPRR2A,FAM83C
THY1,PARM1,GJB5,BRDT
AKR1C2,GCLM,AADAC,CPLX2
PDZK1IP1,SOCS2,TMSB15A,C11orf53
PER1,DDAH1,C4BPB,TAC4
CRYAB,RPS6KA2,XAGE1B,IRX4
TGFBR2,CD93,AL603965.1,KRT75
ANXA3,SERPINE2,HGD,CLPSL2
C10orf54,IL7R,GJB6,CT45A3
TNFSF13,CCDC91,PENK,ASCL1
CTSK,MUC20,SPIB,HOXB13
KRT15,DCUN1D1,XAGE1D,CDSN
ATF3,LILRB4,CYP4F11,GFI1B
LAMC2,ADAMTS1,LGALS4,PLP1
FOLR1,CHIC2,MUC16,FAM25A
DNTTIP1,ZC3H12A,CLCA2,NEFM
MYLK,PITPNC1,HIST1H2BH,SCG3
DHCR7,CREB3L1,XAGE1C,MAGEA1
MX1,NINJ2,CYP4F3,HIST1H3J
COL5A1,SCNN1B,MMP13,MAGEA2B
FAM107B,SDR16C5,GBP6,NR0B1
CSTA,RRM2,COL4A6,HIST1H1B
TREM1,CAMK2N1,DACT2,FETUB
SPI1,MT1G,XAGE1A,HBE1
CD37,PKDCC,ASPG,TFF2
MAOA,ADAM8,KLK13,GAST
NEDD9,CCL20,CA8,SLC14A2
TSPAN1,CENPW,PLA2G2D,LCE3D
CPE,KLF9,LGALS7,GABRR1
CYBRD1,DAPK1,XAGE1E,CTAG2
CRABP2,FAM174B,IL1A,ACMSD
SRXN1,KLF2,DLX5,C6orf15
GSTM2,CMBL,IVL,SPINK13
RAMP2,CDC20,FAT2,MAGEA12
ODF3B,CA2,SNAP25,HEPACAM2
TACC2,EPDR1,MIA,HIST1H4B
TPPP3,MRPS17,DMRT2,GABRQ
MFAP2,EVA1A,MRAP2,CT45A5
ESAM,FOSB,SYS1-DBNDD2,ANXA13
LST1,KIAA0101,ERN2,APOA2
GSTM3,ZEB2,GABRP,SOHLH1
TENC1,AHNAK2,HMGA2,CASP14
OAS1,RAP1GAP,CAPNS2,DEFA4
SERPINA3,GPD1L,MMP3,ISM2
GPC1,PHYHD1,MT3,DSG1
SLC39A8,INMT,DDC,NPY
CX3CL1,DCBLD2,KLK7,PAGE2
ELN,MROH6,SOX21,CGA
CFD,SLC16A5,DNER,SLC1A6
PLAT,CCL14,HAP1,MAGEA10
TMEM14A,SPNS2,CRABP1,DIRAS2
ADM,SPRY4,DLGAP1,EPS8L3
VSIG4,LEPREL1,SPRR2E,HIST2H2AB
RBP1,DLC1,F2RL2,SLC9A4
CARD16,SEZ6L2,CNTNAP2,CTAG1A
ATHL1,PRKX,CR2,LECT1
BACE2,PDK4,C12orf54,MAGEB2
SC5D,CD79A,HIST1H1E,PCK1
SDC2,QPRT,IL36G,CTB-186H2.3
VWF,SPAG4,SEPT1,GDPD2
ALOX5,B3GNT7,CHGB,CHRNA9
GPSM3,PSAT1,PDIA2,AFP
SFTA3,RAC3,LGR5,CDHR5
APOD,KCNN4,SULT1E1,CT45A1
MARCO,DSC2,KIF1A,UGT1A4
IL8,GSDMB,HIST1H2AK,KRT40
CYP27A1,WISP2,HIST3H2BB,LHX5
TPD52L1,FOXM1,KREMEN2,SST
HIST1H2AC,NOTCH4,COX6B2,CARD18
ECSCR,SNX25,IYD,CIDEC
GYPC,SESN3,DUOXA2,TTR
TNS1,ROBO1,MUC5AC,IGFL3
TNFSF12,ECHDC3,BNC1,MUC6
LAMP3,HIST2H4A,RDH12,EDN3
FKBP5,GJA5,STAR,IGFBP1
ATF5,ZNF703,MYCN,C11orf86
IL2RG,TNXB,HOXB8,MAFA
IKBKB,CEACAM1,GLB1L3,HBG1
AGR3,MYBL2,CAPN6,GP2
THEMIS2,LPL,TMPRSS11D,LRRTM1
LTBP2,RECQL4,SPRR2F,SPINK4
LAMA3,CDKN2B,SLC6A15,CLRN3
MYH11,KIAA1462,SYT13,NXF2
C16orf89,TPX2,PRB3,NOL4
GDF15,ATP2C2,PCSK1,S100A7A
LMCD1,CIITA,CAMK2B,SEZ6
SPON2,RMI2,CACNA1A,LCE1C
CSRP2,PSPH,HIST1H3G,AKR1C4
TMEM125,CELF2,SLCO1B3,CLPSL1
ICAM2,CCNB2,HIST2H3C,KCNH6
G0S2,SGMS2,ARG1,MYL7
HCST,ARMC9,CYP26A1,MAGEC2
FBLN5,CIT,SPRR2G,PHGR1
ITGA6,SNTB1,GLYATL2,PAX7
ALPL,TROAP,STMN2,QRFPR
POLB,GALNT6,RNASE7,TAC1
CTHRC1,SRPX,RP11-553A10.1,FER1L6
COX7A1,DUSP2,STAC2,KRT20
SOD3,ASPN,NPPC,PSG4
SULF1,ARHGAP29,PRAP1,NPFFR2
FHL2,CDKN3,MYBPC1,SPP2
ASPSCR1,CDCA3,SLC13A5,SPRR4
SULF2,SLC16A1,TPH1,BPIFB4
RCN3,ALDH1A3,CLCA4,AHSG
TNFAIP3,KCNE3,CNTN5,SLC38A8
CAPS,LIPH,ART3,DKK4
ZFAND2A,ANO1,CDHR2,LCE3E
FHL1,KCNQ1,HIST1H2AL,GAGE12I
ASNS,PGF,NDP,PAGE5
CD40,TSPAN18,FABP7,NXF2B
NREP,RASSF2,ZIC1,COX7B2
PCID2,FAM83D,PAH,SERPINA6
CDK5RAP2,QPCT,ALDOB,IL17REL
IER5,ARHGEF26,SLC5A5,KRT83
ACKR3,AK4,SLC9A3,KRT34
KLF4,ECE2,HIST1H4K,KCNQ2
WHSC1L1,INHBA,HIST1H2AJ,CELF3
SLC11A1,ENO3,HIST1H3B,DEFB126
PIGR,MEF2C,MTTP,SERPINA4
LIMCH1,ADAM28,SPRR2B,HIST1H2AB
CLDN1,HES6,CYP2W1,GABRG2
IFI44,PRF1,HIST1H2AH,SEZ6L
TRIM16,DES,COL2A1,IFITM5
FSTL3,HIGD1B,MROH2A,TEX101
GLIPR2,NR4A2,CABP7,SLC4A1
CSF3R,EMCN,TDRD12,CRP
OLFML3,PLA2G4A,OBP2A,DLX2
TMCO3,ANLN,MAEL,INSM1
SH3BP5,HIST1H2BC,SLC3A1,KRT77
C15orf48,FBXO2,VCX3B,METTL11B
GPC3,SLC17A9,FLG,CHRNA2
MCCC1,WWC2,SLURP1,HIST1H4A
PRODH,LTB4R,GALNT9,REG4
LCP2,IL1B,VSIG8,SYT4
SULT1A1,POU2AF1,HOXC4,PRL
ABCA3,CAPN12,PAGE2B,C3orf72
RRAS2,AKAP12,UPK1A,SERPINA11
C1orf162,APOBEC3B,RBFOX3,STXBP5L
ABCB6,SERPINF2,KRTAP3-1,FABP1
HIST1H2BD,SYBU,SPINK7,ZNF536
LRRC32,CPAMD8,PTCHD2,CTAG1B
IRF6,MFI2,ADAMTS18,ETNPPL
GPR116,EDNRB,HIST1H3F,PYDC1
COL5A2,STC1,CALCB,HRG
TSPAN7,CDCA8,DLK1,CDH22
RCAN1,CDA,HIST1H2BM,TM4SF5
LAIR1,CHRDL1,H2AFB3,CDH18
ECM1,FZD4,VCX,DSCR8
C7,CAPN5,TAC3,CRB2
MSLN,APOLD1,GNRH2,GABRA5
ABCC1,ARNTL2,B3GALT5,LRRC38
MMP9,GALNT14,SERPINC1,NGB
PDLIM3,CDC45,ZMAT4,SLC18A3
PLK2,SLC16A4,SALL1,MAGEC1
SLC6A8,EGR2,MATN4,TLX1
UBD,COL9A2,CBLN1,CCKBR
CLDN5,FAM134B,H2AFB2,TRH
MMP7,IGF2,VCX3A,KPRP
CXCL2,C16orf74,HIST1H2BI,APOC3
ACSL5,DUSP4,PEX5L,SCGN
HCK,COMP,SLC12A3,STATH
IGFBP6,FAM65B,UGT2A1,FAM163A
RHOU,PTGIS,KRT2,GUCA2B
APOL3,NPR1,ALX3,BTNL3
ABCC5,LYVE1,FGF20,KRTAP2-3
CXCL1,PKIB,CHRNA6,IL36B
COL16A1,ADAMTS4,ADH4,ATP4A
RFTN1,MAP1B,CDX2,LCE1F
HP,TBX4,NSG2,COX8C
GIMAP5,PRX,SPDYC,OTX2
ACSL4,LILRA5,PNMA5,TRPM5
PTPRM,AC026703.1,GABRA2,GMNC
C11orf96,BEX5,KRT24,OFCC1
GIMAP4,SGCA,NKX2-3,CTD-2105E13.6
TRIM29,RBP4,KCNJ6,DEFB103A
ASH2L,CTSV,CRNN,MUC2
PHGDH,SLC1A1,LYG2,PSG5
SLCO2B1,LY6K,MUC19,C8A
CPVL,CCNE1,HIST1H3I,F2
C1orf116,ITIH5,RP11-817J15.3,GAGE2D
CD34,MFAP5,POU3F2,GAGE1
FBN1,TEK,FAM151A,CTNNA2
TMEM45A,RTN4RL2,FOXI1,AC003102.1
B4GALT4,CLDN10,TMEM14E,ANGPTL3
EFNB1,HIST2H2BF,CYP2B6,DPYSL5
ENPP2,MYZAP,CIDEA,LHX8
HSF4,KANK3,SCGB1D2,DEFB103B
CDH3,ITGA8,ERAS,CASR
PTPRC,HIST2H4B,MAGEA8,KCNA1
CTSE,FAM162B,CLPS,POTEF
PIR,CLDN11,KRT36,NKAIN3
TIPARP,IL1RL1,STARD6,APOA5
PREP,SLC16A14,H2AFB1,CLDN19
SECTM1,HSPB7,CA6,HIST1H2BB
ACVRL1,PGM5,FAM159B,KNG1
MAFF,PDE4C,ANKRD33,MYH1
B3GNT5,ADAMDEC1,CNTN2,PAX3
SPOCK2,CYP3A5,NR5A1,SERPINA10
SUSD2,NR4A3,TMEM114,FAM9B
DENND3,KCNE4,GRIA2,LCN15
THBD,MMRN1,PAGE4,NLRP11
SAA1,CXCL5,RP11-1220K2.2,GRIK1
UNC13D,FAM167A,CXorf67,DLGAP2
CCL19,PCSK1N,SYT6,CELA3A
TFF3,SLC7A11,STMN4,TRIML2
HPGD,COCH,SPIC,MYH7
SLC7A7,MYB,PDC,FRMD1
MFSD2A,PIGY,MARCH11,FAM25G
LAMA4,FCER1A,CXorf48,SPANXC
JAG1,FILIP1,PAGE1,SOX14
ALDH3B1,EFCC1,CREB3L3,ADAMTS19
HSPB8,STAC,UGT3A1,C21orf62
CXCL12,CACNG4,SLC7A3,SSX4B
RNASE4,SEMA3A,NPPB,UNC13C
GRB7,TF,ASCL3,EMX2
IRX3,CCBE1,NXPH1,SMCP
C4BPA,CTSG,NAA11,C21orf37
EGFR,IL23A,CPLX3,FUT9
GSTM4,SCXA,BTN1A1,CGB
RELB,ERVMER34-1,NKX6-3,SPANXB2
SLCO2A1,MT1H,FOXG1,SPANXB1
ACE,CDO1,APOB,ELAVL3
IL1RN,FAM132B,PCDH8,ATP4B
LPHN2,ANKRD36C,AIRE,DMRTC2
PLLP,LCN12,HSD3B2,AC091801.1
FCGR1A,HIST1H2BN,C8orf22,UNC5D
CYP4B1,DPEP1,NXPH2,GC
AREG,PVALB,NRSN1,KCNJ3
PODXL,CD70,OTOS,UGT1A8
MDFI,RP11-47I22.3,LIX1,LMX1A
CSF1,BAI1,PRKAG3,CYP3A4
PGAP3,PRSS3,OR51E2,AGXT
RAMP3,CDH2,TUBA3E,UGT2B11
FERMT2,L1CAM,CLEC2A,ALX4
FBXO32,VTN,PPY,PAQR9
MS4A4A,C1orf61,SVOP,PDCL2
RARRES1,RP11-599B13.6,SYNPR,RFX4
TMPRSS2,SLC26A4,PRB4,MYL1
ARRB1,AC006538.4,MYT1L,KRT85
A4GALT,RP11-598P20.5,FGF21,BEST2
CD48,NEFH,NCAN,PMP2
ATP11B,CHRNA1,FMR1NB,LGI1
PGC,PLGLB2,CSN1S1,SSX1
SLC22A31,CPB1,SCGB2A2,DEFA5
SELPLG,FAM43B,LST3,DPRX
CD36,BHMT,OLFM3,KCNJ4
MARCH9,CTRB2,INSRR,GABRA4
PDLIM4,CALHM3,FAM9C,NLRP4
ACTG2,GNRHR,KRTAP3-2,SPANXD
GOLGA8A,CTD-2545G14.7,CLEC3A,SELV
TLE2,KRTAP1-5,MYF6,REG3A
LIMS2,VGLL2,SSX5,RETNLB
MET,IQCF1,RHOXF2,SP7
DNAJA4,CYP11B1,SLC22A2,ZG16
TMPRSS4,MS4A12,PRSS56,ZDHHC22
NKG7,,AC012215.1,RTP1
ZNF710,,DPPA5,LDHAL6A
GEM,,ATCAY,NKX2-2
NKX2-1,,FRG2B,RALYL
NRGN,,MEP1B,ACTL6B
SYNE1,,PSG1,TCL1B
PRSS22,,GAGE10,REG1B
FOLR2,,LGALS14,RP1-170O19.20
PPP1R14A,,KLK15,ABCC12
EVI2B,,RHAG,MUC7
GSTT1,,HSD3B1,ZIC3
TREM2,,CACNG7,LCE2C
CDH5,,NTSR2,C1orf64
BCL2A1,,MRGPRD,INSL6
PROCR,,LELP1,SSX2
CXCL10,,ADIPOQ,TUBA3C
PRELP,,C14orf23,CA5A
IDO1,,CLVS2,GHRH
LTF,,HMX3,CSRP3
DUOX1,,GAD2,AL590714.1
ATP2A3,,DCX,LCE2B
PROS1,,AL590235.1,GBX1
SDPR,,SNTG1,OTOG
RASD1,,RHOXF2B,EIF4E1B
SNCG,,KRTAP1-3,SCGB1C1
GNLY,,ADAD1,ARHGAP36
NTN4,,KRT25,KCNC2
FGR,,,DEFA6
PVRL1,,,RAX
ADH1B,,,FEV
CXCL14,,,MMP20
DUSP5,,,HIST1H4F
JAG2,,,IAPP
ANGPTL4,,,CARTPT
HEG1,,,PSG9
FILIP1L,,,AQP12A
CRLF1,,,GCG
PCDH1,,,LCE1A
CCDC69,,,AQP12B
PLCB2,,,POU3F3
OPN3,,,APCS
STEAP4,,,SBK2
KCNAB2,,,PAX2
CLIC3,,,FGF3
C1QTNF1,,,TNP1
SERTAD1,,,CPN1
RIMKLB,,,DNMT3L
PLEK,,,CNTNAP5
ST6GALNAC2,,,GH2
DUOXA1,,,SMIM18
TUBB3,,,VSTM2A
CDC42EP5,,,PRM1
KRT10,,,RPL10L
EFCAB4A,,,FLG2
STEAP1,,,PRAC1
ADAMTSL4,,,CHRND
ITM2A,,,HTR3B
LPXN,,,NKX6-2
CLDN3,,,UGT2A3
VWA5A,,,PRM2
SLC39A14,,,CST11
CCL4,,,LRRTM3
TMEM204,,,APOA4
HIST2H2BE,,,HIST1H1A
SLC31A2,,,NDST4
MAN1A1,,,SSX2B
CLEC14A,,,TAAR1
MT1F,,,CLCA1
AMICA1,,,AC011298.1
AMIGO2,,,SLC2A2
FAM118A,,,DCD
TRIB3,,,GIF
RAB3IP,,,APOF
SLFN11,,,HDGFL1
CEACAM5,,,ST8SIA3
APOC2,,,LHX3
SLC44A4,,,CFHR2
PRR15L,,,KRTAP3-3
TRIT1,,,GALR1
C5AR1,,,HRH3
PCDHGC3,,,UMOD
A1BG,,,PRODH2
ITPRIP,,,SPAG11B
CST7,,,PRH1
YEATS4,,,HAO1
CLEC2B,,,ADAM18
KIFC2,,,G6PC
CBS,,,AC079354.2
PI3,,,SLC7A14
CCL3,,,HMGB4
PRRX1,,,SULT2A1
HLA-DOA,,,MUC17
CD3E,,,SPAG11A
INPP5D,,,MT4
SPHK1,,,SERPINA7
FABP3,,,NPHS2
TMEM119,,,AFM
STMN3,,,KRTAP21-2
LPIN2,,,KRTAP11-1
TMC5,,,IQCF3
PILRA,,,PYDC2
SFRP4,,,AL359693.1
ABI3BP,,,DEFB123
S1PR1,,,SBP1
CNN1,,,
TBX2,,,
ME1,,,
FAS,,,
DPT,,,
PHLDB2,,,
LRIG3,,,
GIMAP7,,,
CAPN8,,,
RAB17,,,
GRK5,,,
KCNJ15,,,
ELMO1,,,
MMP19,,,
CLIC2,,,
FOXA1,,,
CD83,,,
IFIT1,,,
CPA3,,,
ANPEP,,,
CDKN1C,,,
OLR1,,,
PON3,,,
MOXD1,,,
IL10RA,,,
FMO2,,,
CALCRL,,,
CXCL9,,,
HLA-DQB2,,,
MMP11,,,
LRRC23,,,
VASN,,,
MARC2,,,
KREMEN1,,,
TCTEX1D2,,,
TSPAN12,,,
NEBL,,,
ALS2CL,,,
ORAOV1,,,
LAT2,,,
EPB41L3,,,
RRAD,,,
EDN1,,,
FEZ1,,,
LTB,,,
PTPRCAP,,,
HEY1,,,
DARC,,,
ZNF331,,,
IL6,,,
AKNA,,,
ANG,,,
EMB,,,
APBB1,,,
MGAT4A,,,
VIPR1,,,
C6orf203,,,
CD302,,,
DNAJB4,,,
LMO3,,,
SLA,,,
CHIT1,,,
MNDA,,,
NR2F1,,,
SASH3,,,
PTGS2,,,
COL7A1,,,
ANKRD37,,,
PROM2,,,
DOK2,,,
FAM229B,,,
PCCA,,,
GRASP,,,
TLR2,,,
PTGES,,,
SDCBP2,,,
F13A1,,,
LMO2,,,
GADD45G,,,
LOXL2,,,
NES,,,
IL33,,,
CYP2S1,,,
CYTIP,,,
APCDD1,,,
MCF2L,,,
EPSTI1,,,
TCF7L1,,,
SH3TC1,,,
ARL4D,,,
EGFL6,,,
CHI3L2,,,
MLKL,,,
FABP4,,,
CD3D,,,
GPR183,,,
C3AR1,,,
GNG11,,,
FPR1,,,
MMP1,,,
FGFR2,,,
IGF2BP2,,,
KYNU,,,
RNF144B,,,
COLEC12,,,
C5orf38,,,
TIE1,,,
MFNG,,,
IGSF6,,,
FGFR3,,,
NCF1,,,
COX4I2,,,
MISP,,,
ST6GALNAC1,,,
SCEL,,,
GZMB,,,
FAXDC2,,,
FAM26F,,,
NCKAP1L,,,
GZMA,,,
AP3M2,,,
TJP3,,,
HSPB6,,,
LDB2,,,
SLAMF7,,,
FLI1,,,
PLEKHB1,,,
PDGFB,,,
TRIM16L,,,
SECISBP2L,,,
FRMD6,,,
TMEM45B,,,
AMACR,,,
GABRE,,,
CCND2,,,
FGGY,,,
NDNF,,,
ITGA1,,,
SEPT4,,,
NMB,,,
VCAM1,,,
FXYD1,,,
HPN,,,
SRPX2,,,
SH2D3C,,,
ITGAL,,,
MYO1G,,,
FAP,,,
OSGIN1,,,
PPARG,,,
HLA-DQA2,,,
MMP28,,,
OLFM2,,,
SMPDL3B,,,
ANKRD29,,,
HK3,,,
MATN2,,,
SAMSN1,,,
SNAI2,,,
CD7,,,
HAS3,,,
NDRG4,,,
CLIC6,,,
ERV3-1,,,
KCTD1,,,
TESC,,,
GBP5,,,
RND1,,,
ADA,,,
LOX,,,
CD2,,,
FAM105A,,,
DOCK2,,,
C10orf128,,,
ETV1,,,
ETV4,,,
RGL3,,,
CCDC3,,,
AIM1,,,
IQCG,,,
MXRA5,,,
DAPK2,,,
PEBP4,,,
BPIFB1,,,
RASL11A,,,
PPP1R14C,,,
RAPGEFL1,,,
COL15A1,,,
C1orf115,,,
MAGED4B,,,
ZNF322,,,
JAM3,,,
IRF8,,,
DNALI1,,,
EPHB3,,,
MMRN2,,,
SLC12A8,,,
GIMAP6,,,
PMAIP1,,,
PLAC9,,,
HSD17B6,,,
KDR,,,
LYPD3,,,
PODXL2,,,
AZGP1,,,
LRG1,,,
GRTP1,,,
MSRB3,,,
MUC4,,,
TNNC1,,,
PPP1R1B,,,
LY86,,,
KIAA1324L,,,
MAOB,,,
PTPN13,,,
BAMBI,,,
AQP4,,,
CST6,,,
CCL13,,,
OLFM1,,,
FAM3B,,,
ALOX15B,,,
DMBT1,,,
MRC1L1,,,
ATOH8,,,
SELL,,,
SMOC2,,,
DOCK8,,,
GPT2,,,
STX1A,,,
GJA4,,,
OSCAR,,,
PALM,,,
SORBS2,,,
FGL2,,,
CBR3,,,
NCALD,,,
PRR4,,,
B3GNT8,,,
ATP13A4,,,
ITGAM,,,
ID4,,,
DPP4,,,
NRN1,,,
DOCK4,,,
CDKN2A,,,
SULT2B1,,,
VSIG2,,,
FOSL1,,,
GPR133,,,
RASIP1,,,
GAB2,,,
ROBO4,,,
PLD1,,,
FGFR4,,,
NOSTRIN,,,
HYAL1,,,
KRT80,,,
TBC1D10C,,,
BTK,,,
KHDRBS3,,,
SLCO4A1,,,
FAM69B,,,
TOX2,,,
LRRK2,,,
CHST2,,,
HSD11B1,,,
WDR66,,,
PKP1,,,
FCN1,,,
MAP2,,,
PTN,,,
GJB2,,,
HIST1H4J,,,
FRY,,,
VSTM2L,,,
CITED4,,,
HSPA6,,,
IRX2,,,
HMCN1,,,
KAL1,,,
PTPLA,,,
DCUN1D2,,,
CD69,,,
FUT3,,,
SNCA,,,
FMO3,,,
FGF7,,,
AOAH,,,
PLEK2,,,
NT5E,,,
BHLHE41,,,
TRNP1,,,
NRARP,,,
CTSW,,,
PALMD,,,
FLRT3,,,
FGFBP1,,,
TNNT1,,,
SLC1A3,,,
CAPN3,,,
HSPA2,,,
LIFR,,,
NAMPTL,,,
SAA2,,,
CH25H,,,
PID1,,,
TMEM163,,,
ENPP4,,,
CD27,,,
RCAN2,,,
HCAR2,,,
WNT5A,,,
CXCL13,,,
NOS3,,,
CBLC,,,
KIAA1324,,,
GATA2,,,
FAM46C,,,
KIAA1199,,,
RASGRP2,,,
LIF,,,
RHOV,,,
SMAD6,,,
FAIM3,,,
FMO5,,,
MT1M,,,
RASL12,,,
LAMC3,,,
RBP7,,,
ERG,,,
TPCN2,,,
COL4A5,,,
UPK3B,,,
STX11,,,
PCOLCE2,,,
SCARF1,,,
PTPRB,,,
SPN,,,
RAI2,,,
NTM,,,
CCNJL,,,
COL14A1,,,
CD274,,,
PODNL1,,,
ACSM3,,,
COL17A1,,,
MAPK15,,,
CACNA2D2,,,
TNFRSF6B,,,
TNFRSF19,,,
SLC6A14,,,
TFPI2,,,
SPINK1,,,
CAPN13,,,
FST,,,
TBX3,,,
TNFRSF18,,,
CD200,,,
TMEM100,,,
GPR146,,,
S100B,,,
SUSD4,,,
OASL,,,
COL10A1,,,
LMOD1,,,
VMO1,,,
ADCY4,,,
SLIT2,,,
PTHLH,,,
BMP2,,,
BMP4,,,
TMEM231,,,
CMPK2,,,
DEFB1,,,
CYYR1,,,
SLIT3,,,
FGD5,,,
FOXQ1,,,
TPRG1,,,
KIT,,,
MSC,,,
BCL6B,,,
CA12,,,
FAM84A,,,
CLEC4A,,,
CDH13,,,
JAM2,,,
MAL,,,
C2orf54,,,
