0,Topic 1,Topic 2
ENSG00000000971,4451.703278180548,4640.515894941694
ENSG00000001561,4640.26963246715,4050.8532255904825
ENSG00000002834,27104.565808242354,46237.53029174916
ENSG00000002933,5961.325424072249,9977.140162059753
ENSG00000003249,3743.956461061252,7307.783878525317
ENSG00000003436,1311.8693739510468,1603.5025047904232
ENSG00000003989,21882.230154758417,16016.286923950407
ENSG00000004776,11729.682813171481,8590.216448815836
ENSG00000004799,14518.24204824754,11127.548007685225
ENSG00000004838,2125.2534660311712,2271.5360468412637
ENSG00000004866,2600.876932377854,3260.9254885140163
ENSG00000005243,4565.881353420983,7448.26810409817
ENSG00000005249,13657.065797201736,8150.061647305569
ENSG00000005469,3842.4359908195415,4450.968333868615
ENSG00000005513,488.1107683408659,1480.0427626503879
ENSG00000005884,4987.328060820821,8316.69861923089
ENSG00000006015,2124.5066081775253,4566.91752030398
ENSG00000006016,968.4878290200434,2617.290761126841
ENSG00000006118,4874.640447252411,12728.299867549029
ENSG00000006128,211.6734265222071,270.8710969148422
ENSG00000006210,8934.182405272813,11851.225903208837
ENSG00000006282,6805.0825859512615,9269.25822081928
ENSG00000006327,8711.511310700083,23547.338065662098
ENSG00000006831,18068.425917491197,18071.77553872385
ENSG00000007264,359.9293719327426,1043.8649250209364
ENSG00000007312,644.5097037049526,3368.3274906788834
ENSG00000007516,2125.461461005694,2039.2825798879835
ENSG00000008283,17292.112478875348,30493.140800850902
ENSG00000008394,12155.559665140314,18547.103656665142
ENSG00000008441,17127.24967712976,14952.818320201633
ENSG00000008513,8118.317351631379,10251.803045654038
ENSG00000008516,633.5086692132464,1148.4008498236626
ENSG00000008517,4069.42908376824,12737.051610070843
ENSG00000008735,2608.241331089969,4110.708636566552
ENSG00000008838,7124.370789651941,13471.375941388784
ENSG00000009790,450.24085621779886,1018.7902015786282
ENSG00000010030,779.9301494186137,2793.471807533208
ENSG00000010282,24.040666038229073,125.48347189753181
ENSG00000010292,6184.824531302253,13481.6852626918
ENSG00000010327,3046.4512968531435,4139.423916862247
ENSG00000010438,129.49185321016026,226.62278498160524
ENSG00000011028,10314.479202801669,18206.174209098397
ENSG00000011260,7668.831608374155,13959.908050365144
ENSG00000011422,3079.8165262566595,7340.62831933376
ENSG00000011426,2872.7500713249087,6441.784426637753
