0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000232460,11.70330307577429,3.6659974718200266,4.372277328290072,2.22874541136622,1.9017319294322508,4.299449825001022,6.4705807964258995,3.0501828274079754,9.116250863975024,6.360233162965479,3.7171177705440748,7.452458912788426,4.883354037243352,4.200851223936987
ENSG00000232499,20.002222403568048,19.95787766919216,14.137002413489046,9.490675988146025,65.6409571501862,18.670470087086535,18.474542678567776,19.8435175148019,11.24153609168917,16.983199138882384,25.677903212938094,22.641840743775145,24.607015090042786,18.017653709969675
ENSG00000232545,105.77937618056139,63.95720279159285,60.114315216904515,57.07536061380174,152.69927594741057,66.02934328591458,51.906664576640985,86.46814853359673,129.40240307414973,21.926396035191853,83.97134442282089,30.00593065620401,49.767989999231034,45.942131823977746
ENSG00000232573,2167.4469821414264,2900.0879591889734,2980.9856846547023,1973.3706069687325,51.54408369490918,2651.6644176074833,3432.3870628351037,2371.8101362737534,1994.663288260047,2405.5209573732586,2898.903785146295,2975.6466690344564,3439.2394677741167,3641.054388830632
ENSG00000232656,8.53761761480975,11.737590646967021,10.75466116371759,4.154512092510191,10.675279581716302,13.764595863902674,12.234646852814585,7.2412592424679,7.490281778612626,16.978875702811997,8.474765695811373,17.062244720975144,21.38804402168639,15.81700997749673
ENSG00000232682,12.903500731299287,15.756383255643659,17.01811937540387,8.172751405900291,68.63607659443093,15.564343066550334,15.035141567556645,12.482027792220347,12.408492403652373,9.674897290473755,25.17600452149796,10.148654892088535,15.321234795920997,13.98064316848081
ENSG00000232729,8.11891010544934,6.3289966956288,7.278952816885519,5.457524821467674,170.08415356786963,8.216589470850373,6.70668155839153,8.711789338841609,10.383379997127111,5.394327352545473,10.962336374367045,4.290263867690971,6.85452879700282,8.7090300969707
ENSG00000232797,2.4928499632064938,2.3581221286472043,3.1343977551610664,2.0949904789716425,1.0034783126125648,3.834468814681229,3.440749249949703,2.9689156882124252,1.4354672333057732,1.9500802766050238,3.757054822144165,3.014532021431941,5.179184479608691,2.135112135066
ENSG00000232803,30.919047312711424,21.791943707372205,18.75950690452248,3.9341422806709563,7.591195141672905,34.44883060547496,37.04883079125607,7.934943934304251,31.54606159400359,119.63310841514888,13.140945168200194,68.7706103433474,53.69067430558131,39.37508384367002
ENSG00000232810,135.09821154215635,118.8869627554106,84.97211712427989,37.201263704760954,15.612648533354674,134.94278822561927,111.42464852218886,72.06278541483898,113.95081954025648,297.5737736110493,137.2381112297264,325.6554308786557,296.94214909302224,92.19803225024837
ENSG00000232815,771.7004953985129,935.3487477810954,979.0089095410025,145.68917894251638,60.32541520237895,671.7234066620073,535.9825478097849,510.42514084132654,255.34588409264822,141.92960125806053,1099.9039313744258,287.9736239998266,515.6447589745457,435.5507578040275
ENSG00000232888,210.90833388861756,150.35351941822236,182.60255091758776,83.68587625352286,226.9588173284837,206.10667991148856,180.1669496811245,158.40282133115318,186.4297078370195,135.77393516775038,212.732257775766,149.96389978562064,209.56744837783427,171.11532755973414
ENSG00000232912,15.618145336608048,13.413053705249515,15.497306794007857,13.995985130187881,136.16867081130331,15.417524050981196,14.41403733121694,12.215818004361479,52.165911271864246,20.227388673280753,18.128778544826957,24.12205350445317,16.1674243052954,23.668059475759836
ENSG00000232931,404.68952902506646,390.1610193691553,468.8404452053264,185.71232253450637,143.69571300130738,408.53413384607416,613.2178180783169,332.64282257763927,616.5751301431294,350.51374549637364,407.1470634005503,244.30347853296797,331.58540661159867,493.61023166916686
ENSG00000233025,29.32514579735528,21.894861433529364,17.155976827722707,12.833176613149776,119.712511375659,21.710072803633757,14.265096924763418,21.026532593759722,40.91666187029438,9.622731533613873,41.59259914473505,12.14404561829618,17.895771856338232,16.604990389381385
ENSG00000233098,48.70394807880853,42.484350485549676,19.419638460765842,22.47098882505412,100.74222273151207,28.17673232238064,37.47167870064476,27.26261570618124,36.95225539980871,26.41724440053111,90.89703934871419,21.534264304084974,37.73372649123196,70.14341659564127
ENSG00000233170,152.40402306900504,176.7216898295231,153.5726599128096,68.70532322858436,51.60142541325323,177.80539851223705,141.33797010965844,217.033338051022,157.8196850520356,26.38520875869122,235.88404160698465,47.17681597006962,91.11152938407557,52.689593112577164
ENSG00000233196,10.771000867340305,6.998742866948796,14.187478481848727,4.05978061592524,6.53464957355475,21.412240529273088,19.4306394350285,6.097365918276747,6.409532535915319,19.944380072099,12.604702693746288,17.494322544023195,35.02608115144538,19.714644018165224
ENSG00000233223,532.1209040731553,499.280882457511,679.8041508982187,423.4310222171746,35.06428673693526,555.8600346590397,469.6096610015794,570.5342062375179,424.24263803147977,369.63711210082556,641.9442993048278,455.85142129384775,543.8367209822042,478.302275820695
ENSG00000233231,30.26501320663481,23.298838936713903,23.90153509973677,13.927551635287305,84.23083231573142,25.88710058386433,25.481392314278697,15.931396803134481,51.58442227827581,16.244458760429257,32.65879679392943,24.21649858765159,22.92845747728425,24.47267590548467
ENSG00000233296,4.701685060329114,4.336996253591061,4.171040671474347,3.110306164132284,6.208760582690973,6.309769959150655,5.75414223539157,4.845790341027823,5.2515112755873625,27.513132312751395,5.8395108971141605,11.45577991130349,7.105363271523919,4.2975463572348005
