Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
,TCGA-NJ-A4YF-01A-12R-A262-07,GTEX-RWS6-0226-SM-2XCA9,,TCGA-60-2713-01A-01R-0851-07
,TCGA-80-5607-01A-31R-1949-07,GTEX-YB5E-0726-SM-4VDSH,,TCGA-37-4133-01A-01R-1100-07-1
,TCGA-55-6982-01A-11R-1949-07,GTEX-111FC-1126-SM-5GZWU,,TCGA-NC-A5HT-01A-11R-A26W-07
,TCGA-05-4403-01A-01R-1206-07,GTEX-P4PQ-0526-SM-2HMKR,,TCGA-18-5595-01A-01R-1635-07
,TCGA-55-7576-01A-11R-2066-07,GTEX-12WSJ-0226-SM-5GCP7,,TCGA-39-5036-01A-01R-1443-07
,TCGA-05-4427-01A-21R-1858-07,GTEX-139YR-0926-SM-5LZYB,,TCGA-LA-A7SW-01A-11R-A405-07
,TCGA-83-5908-01A-21R-2287-07,GTEX-133LE-0526-SM-5N9EJ,,TCGA-NC-A5HP-01A-11R-A26W-07
,TCGA-55-8619-01A-11R-2403-07,GTEX-QDVJ-0926-SM-2I5FU,,TCGA-21-1079-01A-01R-0692-07
,TCGA-55-8299-01A-11R-2287-07,GTEX-11EI6-0826-SM-5985V,,TCGA-85-8481-01A-11R-2326-07
,TCGA-93-A4JP-01A-11R-A24X-07,GTEX-X3Y1-0626-SM-3P5YS,,TCGA-33-AASJ-01A-11R-A405-07
,TCGA-MP-A4T6-01A-32R-A262-07,GTEX-SE5C-0526-SM-2XCE1,,TCGA-63-7023-01A-11R-1949-07
,TCGA-86-8074-01A-11R-2241-07,GTEX-S33H-0626-SM-2XCBJ,,TCGA-56-8305-01A-11R-2296-07
,TCGA-86-7953-01A-11R-2187-07,GTEX-14E7W-1326-SM-5RQIV,,TCGA-85-8354-01A-31R-2326-07
,TCGA-49-AARN-01A-21R-A41B-07,GTEX-O5YV-0526-SM-2I5GE,,TCGA-77-8009-01A-11R-2187-07
,TCGA-50-5055-01A-01R-1628-07,GTEX-WY7C-0426-SM-3NB3C,,TCGA-34-2596-01A-01R-0851-07
,TCGA-55-7903-01A-11R-2170-07,GTEX-XUJ4-1426-SM-4BONT,,TCGA-63-A5MV-01A-21R-A26W-07
,TCGA-86-8278-01A-11R-2287-07,GTEX-111YS-0626-SM-5GZXV,,TCGA-85-8582-01A-21R-2403-07
,TCGA-49-6745-01A-11R-1858-07,GTEX-ZAB4-0626-SM-5CVN3,,TCGA-18-3414-01A-01R-0980-07
,TCGA-55-8620-01A-11R-2403-07,GTEX-11I78-0126-SM-5HL6F,,TCGA-66-2737-01A-01R-0980-07
,TCGA-62-8397-01A-11R-2326-07,GTEX-13PVQ-0926-SM-5IJFD,,TCGA-92-8064-01A-11R-2247-07
,TCGA-62-8402-01A-11R-2326-07,GTEX-RVPV-1726-SM-5SI8C,,TCGA-56-5897-01A-11R-1635-07
,TCGA-67-6215-01A-11R-1755-07,GTEX-WFG7-0526-SM-3GIKI,,TCGA-18-3419-01A-01R-0980-07
,TCGA-97-8177-01A-11R-2287-07,GTEX-131XW-1126-SM-5EGK4,,TCGA-56-8304-01A-11R-2326-07
,TCGA-05-5429-01A-01R-1628-07,GTEX-RWSA-1126-SM-2XCAZ,,TCGA-18-4083-01A-01R-1100-07
,TCGA-86-7701-01A-11R-2170-07,GTEX-131YS-0926-SM-5IJB9,,TCGA-68-8250-01A-11R-2296-07
,TCGA-97-7554-01A-11R-2039-07,GTEX-117YX-1326-SM-5H125,,TCGA-56-A4ZK-01A-11R-A262-07
,TCGA-69-A59K-01A-11R-A262-07,GTEX-OXRO-0326-SM-33HBM,,TCGA-66-2727-01A-01R-0980-07
,TCGA-55-6984-01A-11R-1949-07,GTEX-13YAN-1026-SM-5O9CF,,TCGA-NC-A5HL-01A-11R-A26W-07
,TCGA-95-A4VN-01A-11R-A262-07,GTEX-12ZZY-0926-SM-5EQ6I,,TCGA-66-2788-01A-01R-0980-07
,TCGA-55-7284-01B-11R-2241-07,GTEX-N7MT-0126-SM-2D7VT,,TCGA-34-8456-01A-21R-2326-07
,TCGA-55-7727-01A-11R-2170-07,GTEX-13FTY-0126-SM-5J2NZ,,TCGA-43-8115-01A-11R-2247-07
,TCGA-97-A4M1-01A-11R-A24X-07,GTEX-ZZPT-1326-SM-5E43H,,TCGA-77-8154-01A-11R-2247-07
,TCGA-49-6767-01A-11R-1858-07,GTEX-12WSN-0626-SM-5BC61,,TCGA-92-7340-01A-21R-2045-07
,TCGA-J2-A4AG-01A-11R-A24H-07,GTEX-11GSP-0726-SM-5986L,,TCGA-43-6771-01A-11R-1820-07
,TCGA-55-8089-01A-11R-2241-07,GTEX-WOFM-0126-SM-3MJFE,,TCGA-56-7582-01A-11R-2045-07
,TCGA-55-8207-01A-11R-2241-07,GTEX-13113-0426-SM-5GCOD,,TCGA-56-6545-01A-11R-1820-07
,TCGA-75-5147-01A-01R-1628-07,GTEX-139T6-0426-SM-5IJEM,,TCGA-56-A4BY-01A-11R-A24H-07
,TCGA-86-8076-01A-31R-2241-07,GTEX-R55G-0826-SM-2TC5U,,TCGA-NC-A5HR-01A-21R-A26W-07
,TCGA-80-5608-01A-31R-1949-07,GTEX-12696-1026-SM-5FQUV,,TCGA-66-2770-01A-01R-0851-07
,TCGA-50-5941-01A-11R-1755-07,GTEX-QDT8-0926-SM-32PL2,,TCGA-94-7557-01A-11R-2125-07
,TCGA-62-8399-01A-21R-2326-07,GTEX-RN64-1226-SM-2TC6E,,TCGA-33-4586-01A-01R-1443-07
,TCGA-86-8279-01A-11R-2287-07,GTEX-U3ZN-0626-SM-3DB7U,,TCGA-52-7810-01A-11R-2125-07
,TCGA-44-A4SU-01A-11R-A24X-07,GTEX-SIU7-0526-SM-3NM8I,,TCGA-51-4080-01A-01R-1100-07
,TCGA-55-7574-01A-11R-2039-07,GTEX-ZDXO-1326-SM-57WBS,,TCGA-98-A53J-01A-11R-A26W-07
,TCGA-86-8280-01A-11R-2287-07,GTEX-YEC3-0226-SM-5IFJO,,TCGA-34-7107-01A-11R-1949-07
,TCGA-55-1594-01A-01R-0946-07,GTEX-13S86-0626-SM-5Q5E7,,TCGA-34-5929-01A-11R-1820-07
,TCGA-44-4112-01A-01R-1107-07,GTEX-U3ZH-0526-SM-3DB75,,TCGA-94-8491-01A-11R-2326-07
,TCGA-55-8085-01A-11R-2241-07,GTEX-1477Z-0626-SM-5NQB7,,TCGA-56-8622-01A-11R-2403-07
,TCGA-78-7162-01A-21R-2066-07,GTEX-ZYW4-1526-SM-5SIBA,,TCGA-34-5928-01A-11R-1820-07
,TCGA-44-2659-01A-01R-0946-07,GTEX-117YW-0526-SM-5H11C,,TCGA-34-5236-01A-21R-1820-07
,TCGA-05-5425-01A-02R-1628-07,GTEX-11NV4-1126-SM-5HL6J,,TCGA-63-A5ML-01A-31R-A27Q-07
,TCGA-55-A491-01A-11R-A24H-07,GTEX-12BJ1-1026-SM-5EGJA,,TCGA-66-2795-01A-02R-0980-07
,TCGA-97-8179-01A-11R-2287-07,GTEX-11EMC-0126-SM-5EGKV,,TCGA-85-7698-01A-11R-2125-07
,TCGA-J2-8192-01A-11R-2241-07,GTEX-WFON-0426-SM-3GIL4,,TCGA-22-4601-01A-01R-1443-07
,TCGA-50-8460-01A-11R-2326-07,GTEX-144GM-0126-SM-5Q5AX,,TCGA-66-2793-01A-01R-1201-07
,TCGA-05-5428-01A-01R-1628-07,GTEX-13FHP-0726-SM-5K7YI,,TCGA-85-7844-01A-11R-2125-07
,TCGA-O1-A52J-01A-11R-A262-07,GTEX-11ZUS-0126-SM-5EQM5,,TCGA-63-A5MI-01A-12R-A27Q-07
,TCGA-05-4396-01A-21R-1858-07,GTEX-PX3G-0526-SM-2I3EM,,TCGA-56-7579-01A-11R-2045-07
,TCGA-49-AAQV-01A-11R-A39D-07,GTEX-WYJK-0826-SM-3NM8Y,,TCGA-77-A5G3-01A-31R-A27Q-07
,TCGA-44-2655-01A-01R-0946-07,GTEX-1128S-0726-SM-5N9D6,,TCGA-77-A5G1-01A-11R-A27Q-07
,TCGA-05-4402-01A-01R-1206-07,GTEX-OHPL-0526-SM-3NM8U,,TCGA-94-A5I6-01A-21R-A27Q-07
,TCGA-MP-A4TE-01A-22R-A466-07,GTEX-145MN-0926-SM-5NQBT,,TCGA-77-6843-01A-11R-1949-07
,TCGA-55-8514-01A-11R-2403-07,GTEX-13O21-3026-SM-5J2NI,,TCGA-22-A5C4-01A-12R-A27Q-07
,TCGA-97-7941-01A-11R-2187-07,GTEX-147F3-0726-SM-5NQ9U,,TCGA-92-7341-01A-31R-2045-07
,TCGA-05-4425-01A-01R-1755-07,GTEX-T6MO-0426-SM-32QOI,,TCGA-70-6723-01A-11R-1820-07
,TCGA-55-6983-01A-11R-1949-07,GTEX-X4EO-0926-SM-3P5Z2,,TCGA-56-A4BX-01A-11R-A24H-07
,TCGA-97-7937-01A-11R-2170-07,GTEX-13QJC-0526-SM-5RQKB,,TCGA-85-A50Z-01A-21R-A262-07
,TCGA-95-7562-01A-11R-2241-07,GTEX-13FLV-0426-SM-5KLZA,,TCGA-21-1071-01A-01R-0692-07
,TCGA-78-7143-01A-11R-2039-07,GTEX-PLZ4-0726-SM-2TC6Q,,TCGA-43-7657-01A-31R-2125-07
,TCGA-99-8033-01A-11R-2241-07,GTEX-13N2G-0826-SM-5IJE6,,TCGA-77-8130-01A-11R-2247-07
,TCGA-71-6725-01A-11R-1858-07,GTEX-1339X-0626-SM-5IJER,,TCGA-NC-A5HI-01A-11R-A26W-07
,TCGA-49-4486-01A-01R-1206-07,GTEX-WHPG-1426-SM-3NMBB,,TCGA-60-2721-01A-01R-0851-07
,TCGA-55-8090-01A-11R-2241-07,GTEX-1497J-0326-SM-5Q5CN,,TCGA-63-A5MG-01A-12R-A27Q-07
,TCGA-86-8073-01A-11R-2241-07,GTEX-P4QS-0526-SM-2I3ET,,TCGA-94-7943-01A-11R-2187-07
,TCGA-44-2665-01A-01R-0946-07,GTEX-1122O-0126-SM-5GICA,,TCGA-77-8148-01A-11R-2247-07
,TCGA-73-7499-01A-11R-2187-07,GTEX-ZPU1-0926-SM-57WDO,,TCGA-22-1011-01A-01R-0692-07
,TCGA-S2-AA1A-01A-12R-A39D-07,GTEX-X4XY-1026-SM-46MVX,,TCGA-22-5473-01A-01R-1635-07
,TCGA-44-6775-01A-11R-1858-07,GTEX-13QJ3-1026-SM-5QGQU,,TCGA-85-6798-01A-11R-1949-07
,TCGA-55-7994-01A-11R-2187-07,GTEX-13VXT-1426-SM-5LU4B,,TCGA-77-7337-01A-21R-2045-07
,TCGA-55-A494-01A-11R-A24X-07,GTEX-12ZZW-0926-SM-5LZUD,,TCGA-77-8143-01A-11R-2247-07
,TCGA-75-6203-01A-11R-1755-07,GTEX-XBEW-0226-SM-4AT6A,,TCGA-77-8156-01A-11R-2247-07
,TCGA-50-5930-01A-11R-1755-07,GTEX-13N1W-0726-SM-5MR57,,TCGA-21-A5DI-01A-31R-A26W-07
,TCGA-67-3771-01A-01R-0946-07,GTEX-T6MN-0826-SM-32PM4,,TCGA-98-A538-01A-11R-A262-07
,TCGA-69-7978-01A-11R-2187-07,GTEX-ZAB5-0626-SM-5PNVB,,TCGA-85-A53L-01A-21R-A26W-07
,TCGA-78-7540-01A-11R-2066-07,GTEX-13QBU-0726-SM-5J2OA,,TCGA-77-A5G7-01B-11R-A27Q-07
,TCGA-78-7160-01A-11R-2039-07,GTEX-WRHU-0226-SM-3MJFV,,TCGA-37-3789-01A-01R-0980-07
,TCGA-55-8513-01A-11R-2403-07,GTEX-QESD-0626-SM-2I5G4,,TCGA-66-2763-01A-01R-0851-07
,TCGA-44-5644-01A-21R-2039-07,GTEX-ZT9W-0726-SM-4YCDC,,TCGA-63-A5MJ-01A-11R-A27Q-07
,TCGA-86-8075-01A-11R-2241-07,GTEX-ZE7O-0826-SM-57WCP,,TCGA-43-A475-01A-11R-A24H-07
,TCGA-64-5779-01A-01R-1628-07,GTEX-13VXU-2726-SM-5LU4N,,TCGA-56-8082-01A-11R-2247-07
,TCGA-05-5423-01A-01R-1628-07,GTEX-P78B-0926-SM-2I5FA,,TCGA-33-AAS8-01A-11R-A405-07
,TCGA-05-4434-01A-01R-1206-07,GTEX-132QS-0726-SM-5IJE9,,TCGA-98-A53I-01A-31R-A262-07
,TCGA-05-4249-01A-01R-1107-07,GTEX-13O3Q-0526-SM-5KM18,,TCGA-22-5482-01A-01R-1635-07
,TCGA-73-4675-01A-01R-1206-07,GTEX-Q2AH-0426-SM-2I3EP,,TCGA-85-8052-01A-11R-2247-07
,TCGA-44-3918-01A-01R-1107-07,GTEX-ZDYS-0426-SM-5IJEQ,,TCGA-56-8629-01A-11R-2403-07
,TCGA-78-8662-01A-11R-2403-07,GTEX-13PL7-1726-SM-5J2NX,,TCGA-56-A4BW-01A-11R-A24H-07
,TCGA-62-8395-01A-11R-2326-07,GTEX-ZUA1-1026-SM-4YCEA,,TCGA-34-5927-01A-11R-1820-07
,TCGA-78-7148-01A-11R-2039-07,GTEX-ZTPG-0926-SM-5O99H,,TCGA-58-A46M-01A-11R-A24H-07
,TCGA-44-3918-01A-01R-A278-07,GTEX-ZDTT-0926-SM-5J2MS,,TCGA-77-8136-01A-11R-2247-07
,TCGA-55-7907-01A-11R-2170-07,GTEX-PWOO-0726-SM-2I3EB,,TCGA-77-7140-01A-41R-2045-07
,TCGA-J2-A4AD-01A-11R-A24H-07,GTEX-11NUK-0826-SM-5HL4U,,TCGA-NC-A5HE-01A-11R-A26W-07
,TCGA-73-4666-01A-01R-1206-07,GTEX-13JVG-1426-SM-5MR4W,,TCGA-43-6773-01A-41R-1949-07
,TCGA-73-4662-01A-01R-1206-07,GTEX-XQ3S-0926-SM-4BOPI,,TCGA-85-8277-01A-11R-2296-07
,TCGA-49-AARO-01A-12R-A41B-07,GTEX-XGQ4-0826-SM-4AT4T,,TCGA-66-2759-01A-01R-0851-07
,TCGA-50-5049-01A-01R-1628-07,GTEX-OIZI-1026-SM-3NB1K,,TCGA-77-6845-01A-11R-1949-07
,TCGA-55-6712-01A-11R-1858-07,GTEX-13NZA-1426-SM-5KM4Y,,TCGA-22-4604-01A-01R-1201-07
,TCGA-05-4424-01A-22R-1858-07,GTEX-OXRP-0526-SM-2I3EW,,TCGA-46-6025-01A-11R-1820-07
,TCGA-44-7667-01A-31R-2066-07,GTEX-Q734-0626-SM-2I3EF,,TCGA-18-3416-01A-01R-0980-07
,TCGA-99-8032-01A-11R-2241-07,GTEX-13OW6-0826-SM-5L3GA,,TCGA-22-5477-01A-01R-1635-07
,TCGA-38-6178-01A-11R-1755-07,GTEX-N7MS-0926-SM-2HMIZ,,TCGA-85-A4QQ-01A-41R-A262-07
,TCGA-44-6147-01A-11R-A278-07,GTEX-146FQ-0926-SM-5LUAV,,TCGA-18-3408-01A-01R-0980-07
,TCGA-NJ-A4YQ-01A-11R-A262-07,GTEX-1399S-1726-SM-5L3DI,,TCGA-22-4599-01A-01R-1443-07
,TCGA-97-8171-01A-11R-2287-07,GTEX-Y3IK-0626-SM-4WWE4,,
,TCGA-64-1681-01A-11R-2066-07,GTEX-UPIC-0826-SM-3GADQ,,
,TCGA-69-7979-01A-11R-2187-07,GTEX-XPVG-1026-SM-4B64Y,,
,TCGA-05-4426-01A-01R-1206-07,GTEX-SN8G-0926-SM-4DM5I,,
,TCGA-55-8092-01A-11R-2241-07,GTEX-UJHI-0726-SM-3DB92,,
,TCGA-MP-A4SY-01A-21R-A24X-07,GTEX-145MF-0726-SM-5Q5BT,,
,TCGA-95-7948-01A-11R-2187-07,GTEX-1212Z-1026-SM-5EGJ8,,
,TCGA-86-6851-01A-11R-1949-07,GTEX-ZVZQ-1526-SM-5N9G6,,
,TCGA-49-AAR4-01A-12R-A41B-07,GTEX-X261-1026-SM-3NMDL,,
,TCGA-75-7025-01A-12R-1949-07,GTEX-145MO-1326-SM-5Q5EF,,
,TCGA-49-AAR0-01A-21R-A39D-07,GTEX-111VG-0726-SM-5GIDC,,
,TCGA-86-8055-01A-11R-2241-07,GTEX-11O72-1326-SM-5BC5A,,
,TCGA-95-7947-01A-11R-2187-07,GTEX-WH7G-0726-SM-3NMBM,,
,TCGA-55-A4DF-01A-11R-A24H-07,GTEX-11TT1-1626-SM-5EQL7,,
,TCGA-05-4250-01A-01R-1107-07,GTEX-145LU-0526-SM-5O9AT,,
,TCGA-73-4677-01A-01R-1206-07,GTEX-ZLWG-0626-SM-4WWFR,,
,TCGA-55-7724-01A-11R-2170-07,GTEX-X4LF-0526-SM-3NMB6,,
,TCGA-64-5774-01A-01R-1628-07,GTEX-12KS4-0726-SM-5FQSX,,
,TCGA-55-6985-01A-11R-1949-07,GTEX-WK11-0526-SM-3NB3O,,
,TCGA-71-8520-01A-11R-2403-07,GTEX-S341-0326-SM-2XCAU,,
,TCGA-50-5935-01A-11R-1755-07,GTEX-W5X1-0526-SM-3GILH,,
,TCGA-97-7552-01A-11R-2039-07,GTEX-ZY6K-0326-SM-5SIBB,,
,TCGA-62-A46U-01A-11R-A24H-07,GTEX-POMQ-0526-SM-3GADD,,
,TCGA-55-8094-01A-11R-2241-07,GTEX-13FTX-0326-SM-5J2NG,,
,TCGA-MP-A4TJ-01A-51R-A262-07,GTEX-14DAR-0226-SM-5S2PR,,
,TCGA-50-8457-01A-11R-2326-07,GTEX-SIU8-0926-SM-5SI87,,
,TCGA-95-7944-01A-11R-2187-07,GTEX-PLZ6-0426-SM-5IFK2,,
,TCGA-55-8621-01A-11R-2403-07,GTEX-OIZH-0526-SM-2HMKV,,
,TCGA-73-4668-01A-01R-1206-07,GTEX-11WQK-1226-SM-5GU5Z,,
,TCGA-L9-A50W-01A-12R-A39D-07,GTEX-RTLS-0926-SM-2TF5X,,
,TCGA-73-4659-01A-01R-1206-07,GTEX-S7SF-0426-SM-3K2B7,,
,TCGA-J2-A4AE-01A-21R-A24H-07,GTEX-ZYT6-0526-SM-5GIEA,,
,TCGA-55-8206-01A-11R-2241-07,GTEX-WYBS-1126-SM-3NMAM,,
,TCGA-05-4384-01A-01R-1755-07,GTEX-Q2AG-1026-SM-33HBW,,
,TCGA-44-A479-01A-31R-A24H-07,GTEX-139UW-0226-SM-5K7WU,,
,TCGA-44-2665-01A-01R-A278-07,GTEX-YJ8O-1826-SM-5HL82,,
,TCGA-44-6778-01A-11R-1858-07,GTEX-R55D-0926-SM-3GAEU,,
,TCGA-75-5146-01A-01R-1628-07,GTEX-ZYVF-1726-SM-5E443,,
,TCGA-78-8640-01A-11R-2403-07,GTEX-XQ8I-1126-SM-4BOO2,,
,TCGA-L4-A4E5-01A-11R-A24X-07,GTEX-11ZTT-0626-SM-5EQLM,,
,TCGA-49-4490-01A-21R-1858-07,GTEX-Y8E4-0526-SM-4V6GC,,
,TCGA-69-7765-01A-11R-2170-07,GTEX-ZC5H-0926-SM-5CVMZ,,
,TCGA-55-8506-01A-11R-2403-07,GTEX-WVJS-0826-SM-4MVNR,,
,TCGA-NJ-A4YI-01A-11R-A262-07,GTEX-ZPIC-0626-SM-57WDY,,
,TCGA-55-5899-01A-11R-1628-07,GTEX-131XE-0726-SM-5HL9K,,
,TCGA-73-7498-01A-12R-2187-07,GTEX-13FH7-1726-SM-5IJE7,,
,TCGA-91-8497-01A-11R-2403-07,GTEX-ZYWO-0826-SM-5E45W,,
,TCGA-78-7539-01A-11R-2066-07,GTEX-UPK5-1126-SM-3GAEJ,,
,TCGA-MN-A4N4-01A-12R-A24X-07,GTEX-Q2AI-0526-SM-2I3EJ,,
,TCGA-44-8119-01A-11R-2241-07,GTEX-Y9LG-0526-SM-4VBRY,,
,TCGA-55-7728-01A-11R-2187-07,GTEX-11P81-0226-SM-5HL5M,,
,TCGA-MP-A4T8-01A-11R-A24X-07,GTEX-146FH-1226-SM-5NQB6,,
,TCGA-44-7671-01A-11R-2066-07,GTEX-1399U-0826-SM-5KM1P,,
,TCGA-67-4679-01B-01R-1755-07,GTEX-T8EM-0326-SM-3DB7F,,
,TCGA-55-7914-01A-11R-2170-07,GTEX-12WSK-0826-SM-5CVNP,,
,TCGA-4B-A93V-01A-11R-A39D-07,GTEX-148VJ-0826-SM-5LU8V,,
,TCGA-05-4432-01A-01R-1206-07,GTEX-13OVL-0626-SM-5KM13,,
,TCGA-69-7980-01A-11R-2187-07,GTEX-1211K-0826-SM-5FQUP,,
,TCGA-86-A4P7-01A-11R-A24X-07,GTEX-OXRL-0526-SM-2I3EZ,,
,TCGA-75-6207-01A-11R-1755-07,GTEX-XBED-0826-SM-47JYC,,
,TCGA-73-4676-01A-01R-1755-07,GTEX-Y8LW-0326-SM-4VBQ9,,
,TCGA-44-4112-01A-01R-A278-07,GTEX-NL3G-0526-SM-4RTWW,,
,TCGA-78-8655-01A-11R-2403-07,GTEX-OXRK-0926-SM-2HMKP,,
,TCGA-78-7537-01A-11R-2066-07,GTEX-VJYA-0326-SM-3GAEX,,
,TCGA-50-5946-01A-11R-1755-07,GTEX-145LS-1226-SM-5Q5D9,,
,TCGA-97-8552-01A-11R-2403-07,GTEX-T2IS-0526-SM-32QP9,,
,TCGA-86-8672-01A-21R-2403-07,GTEX-11DZ1-0426-SM-5H11A,,
,TCGA-49-AARE-01A-11R-A41B-07,GTEX-OIZG-0526-SM-2HMLF,,
,TCGA-44-2666-01A-01R-0946-07,GTEX-SUCS-0626-SM-32PM5,,
,TCGA-55-8097-01A-11R-2241-07,GTEX-PLZ5-0726-SM-2I5F9,,
,TCGA-44-2656-01A-02R-A278-07,GTEX-QEG4-0526-SM-48TZD,,
,TCGA-55-8087-01A-11R-2241-07,GTEX-NPJ8-0326-SM-2D7VV,,
,TCGA-05-4430-01A-02R-1206-07,GTEX-RUSQ-0626-SM-2TF5V,,
,TCGA-49-4501-01A-01R-1206-07,GTEX-XOT4-1426-SM-4B65T,,
,TCGA-55-7910-01A-11R-2170-07,GTEX-QMR6-1926-SM-32PL9,,
,TCGA-44-6775-01A-11R-A278-07,GTEX-QCQG-0326-SM-2I3ES,,
,TCGA-78-7158-01A-11R-2039-07,GTEX-PW2O-0526-SM-2I3DX,,
,TCGA-91-6836-01A-21R-1858-07,GTEX-X4EP-0526-SM-3P5YW,,
,TCGA-05-4405-01A-21R-1858-07,GTEX-12WSA-1026-SM-5EGHN,,
,TCGA-93-A4JN-01A-11R-A24X-07,GTEX-13G51-0426-SM-5K7Z5,,
,TCGA-62-A472-01A-11R-A24H-07,GTEX-UJMC-0726-SM-3GADX,,
,TCGA-NJ-A55R-01A-11R-A262-07,GTEX-13NYB-0626-SM-5MR47,,
,TCGA-05-4417-01A-22R-1858-07,GTEX-11LCK-0426-SM-5A5M8,,
,TCGA-NJ-A55A-01A-11R-A262-07,GTEX-NFK9-1026-SM-2HMK1,,
,TCGA-97-8174-01A-11R-2287-07,GTEX-13FHO-1026-SM-5KM1Q,,
,TCGA-35-4122-01A-01R-1107-07,GTEX-11OF3-1126-SM-5986C,,
,TCGA-44-2657-01A-01R-1107-07,GTEX-13OW8-1726-SM-5L3GO,,
,TCGA-MN-A4N5-01A-11R-A24X-07,GTEX-ZVT3-0926-SM-5GICK,,
,TCGA-05-4382-01A-01R-1206-07,GTEX-RM2N-0426-SM-2TF4T,,
,TCGA-53-A4EZ-01A-12R-A24X-07,GTEX-11ZTS-1226-SM-5EQMQ,,
,TCGA-55-8205-01A-11R-2241-07,GTEX-12WSL-1026-SM-5CVNJ,,
,TCGA-MP-A4TD-01A-32R-A262-07,GTEX-14A6H-0526-SM-5NQAZ,,
,TCGA-99-7458-01A-11R-2039-07,GTEX-QMRM-0826-SM-3NB33,,
,TCGA-38-4632-01A-01R-1755-07,GTEX-QEG5-1126-SM-33HC2,,
,TCGA-55-8091-01A-11R-2241-07,GTEX-144GO-0226-SM-5LUB1,,
,TCGA-97-8175-01A-11R-2287-07,GTEX-OHPM-0526-SM-2YUMJ,,
,TCGA-05-4422-01A-01R-1206-07,GTEX-13OVG-0326-SM-5KM57,,
,TCGA-55-8508-01A-11R-2403-07,GTEX-WYVS-0526-SM-3NM9W,,
,TCGA-93-7347-01A-11R-2187-07,GTEX-131XH-0426-SM-5DUWU,,
,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-56-8623-01A-11R-A28V-07,,
,TCGA-L9-A8F4-01A-11R-A39D-07,TCGA-43-7657-11A-01R-2125-07,,
,TCGA-44-7670-01A-11R-2066-07,TCGA-58-8386-11A-01R-2296-07,,
,TCGA-93-A4JO-01A-21R-A24X-07,TCGA-22-5478-11A-11R-1635-07,,
,TCGA-49-4488-01A-01R-1755-07,TCGA-22-5472-11A-11R-1635-07,,
,TCGA-97-7546-01A-11R-2039-07,TCGA-43-5670-11A-01R-2125-07,,
,TCGA-55-8301-01A-11R-2287-07,TCGA-60-2709-11A-01R-1820-07,,
,TCGA-49-4494-01A-01R-1206-07,TCGA-22-5489-11A-01R-1635-07,,
,TCGA-49-6761-01A-31R-1949-07,TCGA-77-8007-11A-01R-2187-07,,
,TCGA-44-A47B-01A-11R-A24H-07,TCGA-22-5471-11A-01R-1635-07,,
,TCGA-95-7043-01A-11R-1949-07,TCGA-22-4609-11A-01R-2125-07,,
,TCGA-MP-A4SW-01A-21R-A24X-07,TCGA-22-5482-11A-01R-1635-07,,
,TCGA-95-8494-01A-11R-2326-07,TCGA-56-8082-11A-01R-2247-07,,
,TCGA-38-4629-01A-02R-1206-07,TCGA-22-5483-11A-11R-1820-07,,
,TCGA-MP-A4T4-01A-11R-A262-07,TCGA-56-8623-11A-01R-A28V-07,,
,TCGA-NJ-A55O-01A-11R-A262-07,TCGA-33-4587-11A-01R-2125-07,,
,TCGA-86-8358-01A-11R-2326-07,TCGA-56-7579-11A-01R-2045-07,,
,TCGA-38-4627-01A-01R-1206-07,TCGA-43-3394-11A-01R-1758-07,,
,TCGA-05-4390-01A-02R-1755-07,TCGA-34-8454-11A-01R-2326-07,,
,TCGA-86-6562-01A-11R-1755-07,TCGA-77-7338-11A-01R-2045-07,,
,TCGA-78-7633-01A-11R-2066-07,TCGA-43-6143-11A-01R-1820-07,,
,TCGA-78-7152-01A-11R-2039-07,TCGA-43-6773-11A-01R-1949-07,,
,TCGA-95-7567-01A-11R-2066-07,TCGA-51-4080-11A-01R-1758-07,,
,TCGA-55-A48X-01A-11R-A24H-07,TCGA-34-7107-11A-01R-1949-07,,
,TCGA-69-8253-01A-11R-2287-07,TCGA-39-5040-11A-01R-2125-07,,
,TCGA-55-7725-01A-11R-2170-07,TCGA-43-6771-11A-01R-1820-07,,
,TCGA-55-7995-01A-11R-2187-07,TCGA-92-7340-11A-01R-2045-07,,
,TCGA-50-6594-01A-11R-1755-07,TCGA-77-7138-11A-01R-2045-07,,
,TCGA-55-A57B-01A-12R-A39D-07,TCGA-77-7142-11A-01R-2045-07,,
,TCGA-78-7167-01A-11R-2066-07,TCGA-56-7823-11A-01R-2247-07,,
,TCGA-86-7714-01A-12R-2170-07,TCGA-22-5491-11A-01R-1858-07,,
,TCGA-75-5122-01A-01R-1755-07,TCGA-22-5481-11A-01R-1949-07,,
,TCGA-97-A4M5-01A-11R-A24X-07,TCGA-90-7767-11A-01R-2125-07,,
,TCGA-62-8394-01A-11R-2326-07,TCGA-77-8008-11A-01R-2187-07,,
,TCGA-62-A46S-01A-11R-A24H-07,TCGA-56-7730-11A-01R-2125-07,,
,TCGA-78-8660-01A-11R-2403-07,TCGA-33-6737-11A-01R-1820-07,,
,TCGA-J2-8194-01A-11R-2241-07,TCGA-77-7335-11A-01R-2045-07,,
,TCGA-67-3772-01A-01R-0946-07,TCGA-56-7582-11A-01R-2045-07,,
,TCGA-91-6829-01A-21R-1858-07,TCGA-56-7731-11A-01R-2125-07,,
