Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
TCGA-44-6779-01A-11R-1858-07,TCGA-44-6146-01A-11R-1755-07,TCGA-91-6828-11A-01R-1858-07,,TCGA-56-8503-01A-11R-2403-07
TCGA-50-5931-01A-11R-1755-07,TCGA-78-7145-01A-11R-2039-07,TCGA-44-2668-11A-01R-1758-07,,TCGA-LA-A446-01A-21R-A24Z-07
TCGA-49-4506-01A-01R-1206-07,TCGA-55-6543-01A-11R-1755-07,TCGA-55-6981-11A-01R-1949-07,,TCGA-85-8666-01A-11R-2403-07
TCGA-50-6592-01A-11R-1755-07,TCGA-86-8054-01A-11R-2241-07,TCGA-55-6971-11A-01R-1949-07,,TCGA-66-2766-01A-01R-0851-07
TCGA-97-8176-01A-11R-2403-07,TCGA-78-7161-01A-11R-2039-07,TCGA-91-6831-11A-02R-1858-07,,TCGA-77-A5GB-01B-11R-A27Q-07
TCGA-55-1596-01A-01R-0946-07,TCGA-86-A4D0-01A-11R-A24H-07,TCGA-44-6144-11A-01R-1755-07,,TCGA-18-3421-01A-01R-0980-07
TCGA-91-8499-01A-11R-2403-07,TCGA-38-4628-01A-01R-1206-07,TCGA-73-4676-11A-01R-1755-07,,TCGA-60-2712-01A-01R-0851-07
TCGA-44-3396-01A-01R-1206-07,TCGA-44-7661-01A-11R-2066-07,TCGA-38-4632-11A-01R-1755-07,,TCGA-77-8145-01A-11R-2247-07
TCGA-86-7711-01A-11R-2066-07,TCGA-44-6774-01A-21R-1858-07,TCGA-49-6743-11A-01R-1858-07,,TCGA-37-4133-01A-01R-1100-07
TCGA-50-6595-01A-12R-1858-07,TCGA-93-A4JQ-01A-11R-A24X-07,TCGA-49-4512-11A-01R-1858-07,,TCGA-22-5479-01A-31R-1949-07
TCGA-55-6975-01A-11R-1949-07,TCGA-97-7547-01A-11R-2039-07,TCGA-55-6975-11A-01R-1949-07,,TCGA-68-7755-01A-11R-2125-07
TCGA-44-7660-01A-11R-2066-07,TCGA-MP-A4T7-01A-11R-A24X-07,TCGA-49-6742-11A-01R-1858-07,,TCGA-43-5670-01A-21R-2125-07
TCGA-78-7220-01A-11R-2039-07,TCGA-93-7348-01A-21R-2039-07,TCGA-50-5933-11A-01R-1755-07,,TCGA-33-A5GW-01A-11R-A27Q-07
TCGA-55-8505-01A-11R-2403-07,TCGA-05-4398-01A-01R-1206-07,TCGA-49-4490-11A-01R-1858-07,,TCGA-NC-A5HG-01A-11R-A26W-07
TCGA-05-4418-01A-01R-1206-07,TCGA-67-3773-01A-01R-0946-07,TCGA-50-5932-11A-01R-1755-07,,TCGA-77-7141-01A-11R-2045-07
TCGA-62-A471-01A-12R-A24H-07,TCGA-50-6593-01A-11R-1755-07,TCGA-50-6595-11A-01R-1858-07,,TCGA-18-4086-01A-01R-1100-07
TCGA-64-5775-01A-01R-1628-07,TCGA-44-6776-01A-11R-1858-07,TCGA-44-6777-11A-01R-1858-07,,TCGA-90-7769-01A-11R-2125-07
