0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
ENSG00000000938,28.320439178019733,23.339832109109388,33.20624080974996,24.290456434699074,38.11048233104429,30.883487496087277,27.007109650254304,29.064247742110226,28.938941135676817,26.044322250621846,28.621425192670948,29.033553647419684,25.7292340688493,23.182193636613007,30.55490109844418,36.360710680144024,31.639869330634774,33.237634204388556,31.013275798955,32.22246974730984,21.210473542411687,28.36598234325369,33.94436520825706,24.16866050557495,33.27665481133057,30.007154896265376,24.125417709388024,33.02136807610063,23.37815286020247,28.675777370821844,30.362354147073617,23.11025500175902,30.160198252817818,28.263759037071086,28.590729638790158,25.393760584852817,34.10421912575227,35.46528306347691
ENSG00000001084,33.456890231225,34.69137932135151,24.661002774161247,31.607378554449856,45.336089312826495,41.61603285814716,49.708663699241434,46.04897205350809,34.19603387851579,44.08423861898678,39.17704234803427,28.71061153640771,47.3606560993321,42.309967898191985,49.16572781951509,42.130635991244894,27.973276845705026,38.17512662869489,28.41715219361201,37.74073255460265,39.92188889013745,37.77841934185807,46.649941661166174,32.67107068550442,36.182544925648536,37.471349845077114,36.21448878815933,37.13252302989437,20.21260783576627,33.62680212854699,52.962211139906486,42.999300984040545,30.610525123512442,29.296776899981808,30.76095019206103,34.42884427443355,34.98353650233682,36.791188432676016
ENSG00000001631,26.21445537370914,29.09648137958879,27.69188115609443,33.62199526644133,30.967491415392857,31.452731610928954,33.751503164042376,28.447104767761765,26.803810485004355,23.395448747706624,34.6272319413684,21.350276299937306,30.00489540044388,31.10923352089977,30.40029673986553,25.66357612254256,24.591068733117414,36.389819863865355,19.473145069359866,34.274441836293434,22.74872548516144,34.96922600887227,29.23250257223112,27.976513080327255,35.55392084439458,22.511262783095326,25.547302047447186,27.865963442088145,28.030773568466355,29.67438233831721,22.54627292195716,23.454002696532896,31.39788906151964,25.380993383255205,31.29108370087574,37.287633441328886,26.201020645015955,29.374393472512434
ENSG00000002933,38.45121294566888,35.70747316446086,55.47688819821657,32.55436252238501,53.360896348564886,45.84859865198883,39.228626130632925,47.8365482162864,36.54458008605775,45.625876190535536,55.92210896188882,46.227877317653885,46.554610284125765,37.56226101475058,48.41460598135805,34.53197296364149,38.30235616724399,41.573906046335,41.579538530881784,42.065404310355056,50.94085710126212,36.44584721471995,39.66495517193691,46.061057964549526,38.18355962843253,29.62153787534215,43.43224941577998,35.19289155173644,29.791436794328803,34.75927033058793,47.98293224693985,62.25069679196022,42.60864823010217,48.16209268421616,45.83495351592471,52.48478201013661,41.51103578318599,51.26295437137822
ENSG00000003147,31.142406927682007,34.86832160698953,32.00987351251579,21.381241571718768,27.04614784153922,29.145800563535545,28.919953195105737,29.72769398135912,24.1180727282206,28.513724716888962,22.08633480998105,27.235999548335524,31.95789909436193,31.29773746812183,24.816500264364116,36.15891545997406,28.130320443828026,33.29706864948246,23.518266963684408,35.281526207718514,39.37640268821667,29.004176254936187,27.401054292567366,33.19152318251759,25.126470654776334,26.943789701429658,25.467228135955793,27.097519820359484,23.771096298297472,28.130934316755607,27.531889593119665,31.57348487268201,32.283275994371735,27.756910072871555,22.59860588803715,29.17336886928377,25.27581526299102,36.15686212402702
ENSG00000003436,36.13665256878999,38.47007674577226,33.684032211293754,31.802093737190305,28.5084932926652,36.70709767607609,37.17146129906497,33.657602719939625,49.57255036630536,37.64639710619915,37.6078518287352,30.296793171928645,40.447656547022824,34.14562751865218,49.544286124540406,37.45851337390486,36.76265471820549,33.719536450591036,36.114084365363965,37.937731081385,38.01854022064583,46.08648899081907,36.93579879079165,28.02709577756477,34.87618137170842,34.31286235279729,36.2113862937137,38.329388206114785,26.025614835550066,41.90855176896067,39.129790006331774,35.180154739875675,35.804626886838406,38.793681547575595,34.64034822420778,38.51769797657135,39.29732574426355,39.831264049766695
ENSG00000003989,20.551225972146256,25.82103612557078,31.37554963764779,31.214092287689517,29.054163572088715,22.021377276426243,29.661295419832673,26.01606840658014,20.473172066704137,23.136977052642045,30.590388247558234,30.506108513748956,33.38964838119908,25.678422372206324,25.269449759034394,25.775284355645415,25.650558029518276,26.35096849508092,21.578661097990715,26.556737802102244,24.02074026442143,28.315874675401524,21.44292688166039,32.07850072805617,20.182405667934788,24.42015659084254,21.515261202340902,25.044210964532954,25.049412238482535,22.836913105151933,36.630890799050704,25.95407904858185,23.72983300079863,20.41014667803413,26.449976325397987,27.248122532995563,23.498615978500947,28.608427135107185
ENSG00000004399,39.75712170350044,41.55072881119757,59.60757615737476,40.64610912347859,40.556334903712596,41.45141597043761,37.695708231269144,46.28619484763933,40.03027451921113,59.95732459380831,39.26824820240296,41.8729799166369,37.312996091818086,42.39721962608948,47.2148327898437,39.08183571772971,47.24068908024652,34.75141788754169,38.577524271467766,42.067421737228926,34.81700001522082,43.220690706922475,34.37104025627496,40.54748025714593,41.00662070494742,39.46905024548843,38.98850546874437,45.66427596846393,36.3741420895149,40.86525980165948,46.33536015579794,33.15349771881598,43.2421929709645,50.919548483408626,44.74917237427061,41.280528201675345,44.77435301481569,37.7796250276979
ENSG00000004776,21.18224073251937,24.92368234447143,22.201742655935924,30.121937185223274,17.176425796517794,20.888798751281875,20.085449477725085,28.812850430459996,27.08338491977534,25.517386209267915,23.810406349384188,26.576514624049686,19.257145389072065,20.2066123825338,20.547485168734333,23.700823265813032,16.971305155743,16.43959359033915,12.78255011884533,24.822027074670046,18.033439216789542,19.45516042690485,16.44479306547753,23.61824283636576,24.452703040137457,17.67511464629959,22.03581124307181,20.955983480839073,17.64047089843033,25.076935121902945,23.53435113776736,20.374304020940965,17.694705923319326,22.518357028213856,21.66421216685775,28.62654416232461,23.834680362119606,22.766304310331183
ENSG00000004799,19.357529272394245,24.718803506880732,26.330716228799727,27.988852650836883,27.67739033437851,24.4717999239125,31.420348154295016,31.98485500647563,29.632535814661058,32.42148600507283,32.36333850759174,32.372110511180715,32.919578372383874,29.261625486574225,32.90884529563406,31.228991061994822,29.11592329650568,19.508443567783083,29.03169943654744,28.671690999863863,38.21614081893844,32.03426182475696,30.77809932018699,26.883930952858755,29.095826485634795,26.241794323150465,30.859355196805442,32.621891165056645,21.710132928441848,25.59423188653855,39.65870320552136,35.399133129226065,32.24026839812111,33.773363604009695,28.684948763646158,29.329277090058476,31.778133671009428,30.10432789004667
