0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000000938,45.68796815497424,31.620136706828763,43.356683761179816,36.061942272049194,52.09117010096467,45.855016942222676,39.20506077477199,41.23296640124243,42.051185034561314,34.714218866274884,41.546632308778335,42.29897258777911,36.03195980509207,28.859960065324785,44.17687512544478,50.01094661893037,46.47195651393128,48.43364100403327,48.52767714377063,45.94852088511897,30.23820969344135,39.44844075188169,51.65704048029088,35.52018417824034,48.389073480421395,44.99199981269788
ENSG00000001084,45.609773464782656,49.13773806754054,36.11031793920606,46.88816133820528,65.20714193156131,56.46436307917087,70.17927935051432,59.93994328264333,51.26743427301866,58.787047447160866,56.89724115381915,40.336553874726015,66.9981772294741,55.480209171805086,68.20338489498076,56.410280996514764,40.852749682365385,53.653291429789,45.141017976698336,50.55160713738964,55.314975838949465,52.188214239118764,69.63662346653786,50.00712627710009,51.82366767060736,52.1799958530935
ENSG00000001631,39.607258764979065,42.385609302530405,37.55057946275273,51.39395099985782,44.96967364634029,45.06932768670655,48.357331533328775,40.24480528911256,39.731871893656425,31.136032399620827,50.6331168427274,30.655285453632203,42.556277956012245,39.070547407757104,42.13259494837618,34.86529699503725,35.36860277845247,52.068826556918985,29.699710296574732,48.11254469193242,32.35301032778712,48.75809838843838,45.12541524434127,41.18378441279791,52.09004857750827,33.253885420611944
ENSG00000002933,63.01474649596031,51.80266011435845,74.97729840300191,49.62034552746945,79.08849250679518,68.70017679777982,60.04487290294485,73.92126909176575,53.94560346075305,62.98157082571646,79.9345863778616,69.34679530788056,69.5962682791495,47.796768134562484,68.46530786518045,48.52966627138586,58.48641760186446,60.243753459036064,66.67821335732714,61.23396871963874,76.1729983824565,49.67901094046543,62.99211641160936,69.35274712184116,56.48102964843046,44.475009233536404
ENSG00000003147,55.32537246132683,46.93103797931067,38.550180076614645,31.42744800614291,39.4429322709482,42.944124251569114,44.31365378008251,42.45848075384145,31.986998472392596,38.10765633139257,31.394530892097478,40.12081789537298,42.77004131299799,36.95480195449654,34.77978789931972,48.61004177490248,40.16493753507721,47.41247945589454,36.3705073807407,50.5354104814706,59.89206995468329,37.24608534369973,44.487023909395,46.092596063506086,36.5503572121584,41.65022259573577
ENSG00000003436,61.50155580992004,53.01715653072845,42.72576933212192,48.955725007022565,41.93631000808284,53.999394139000394,56.500680519348144,48.47524532353297,69.76411606753477,51.518118572863585,57.74213025919158,45.525879154597504,53.126207767222084,41.91223600877673,67.65251454841993,50.69168440552614,52.26611217953602,48.007333399881965,57.58182374263933,55.06499678000012,56.222527535692365,62.85887536949424,62.162048999215145,39.765895826718335,50.79391788741354,57.549798896398364
ENSG00000003989,34.12543945296688,33.07295526005617,41.4597719718211,44.41327743648208,43.809652009579956,31.851154042465552,44.39725040119251,36.02837256778019,26.192637869561892,34.58766909170884,42.62991125253237,43.74109178587446,47.78790288251455,31.115886414410728,36.52346024103651,33.066722396249666,39.55678412126487,35.68287608832901,36.805556559757136,37.0289764656236,38.674906862890246,36.16776954606133,33.58391510906738,47.58006070510678,26.702458597936694,39.52300640052202
ENSG00000004399,67.53169228356703,59.588047519766974,75.10868378688187,60.21760545138133,57.24125144533782,62.71506095237034,56.699560324628536,67.57982568833323,59.2232282607876,80.88764518050735,56.40986451789874,62.29031484658566,53.39767447200119,53.52264873761642,70.01264663898151,55.49520430554638,69.32721177894389,50.36532440495365,59.79060907058023,59.65586163725973,51.826362369849825,60.16846553598338,54.28329314537688,59.15285414389757,61.63484424526476,58.75509838941711
ENSG00000004776,33.897048888676125,33.06564239635746,28.814881398260166,42.71243795090004,24.437562954995972,31.347030907330677,28.42302157059641,42.456062775054924,40.169038244798486,36.60378012230361,35.106453531152845,39.94780850115104,27.547611251233903,24.696302426792208,30.398252743615046,32.40267341591157,24.623899841084125,23.872918546503886,19.520364999947258,38.42399131782451,28.545502580188224,27.25379515200432,24.776573071154722,36.451526585885816,33.87310602500065,28.14359316644575
ENSG00000004799,34.73441809671206,32.415763032583875,33.17942138901081,42.950571309145616,40.003953818007794,36.97495014429128,48.077742267470974,47.75288134991064,43.12019553243761,46.44531324772065,47.636530497813844,48.27660783682481,42.467465891909264,38.13810923532063,47.505792170940225,43.94608089143051,41.26417355819981,28.014502795123807,48.92650521183574,42.82755765864177,60.48494484108097,44.775145525591505,50.78439477975276,38.66706287960238,42.63357905168098,44.38765764726972
ENSG00000004838,16.00116094849868,20.019965803487306,17.556856625748047,19.944353067619844,17.69359934666039,18.464601248717795,17.380721385749638,20.980371652184274,17.11008971903565,22.140327409506256,18.03080363931914,15.258074082844336,20.494861364620647,23.761516504446494,18.57130926020191,16.68815920797074,19.57048505893201,19.212780304584278,15.420992934732185,18.135124774555237,14.298787233194108,16.93681293431518,19.087034006865686,15.042442998893844,18.07462358024132,28.085798190942135
ENSG00000005243,45.926871928306284,52.27565725732206,49.82130330793379,56.00770313566628,44.424039475116096,53.974535040327844,49.430268019148436,48.33804216714871,39.44183130987659,46.67413696281136,50.14835277591603,36.24947250563773,52.274420048407976,43.793714278489,37.325611239435126,37.96238699461016,45.80697568021215,38.46319227354951,49.32776204258357,48.997413396061766,58.36324011893732,33.07935511939266,61.97439373446363,51.01926018970419,50.74502446334126,45.37027730319794
ENSG00000005249,36.54189374854465,25.84864316649255,27.175986923749825,39.399750296003695,24.87413858982487,29.416570295946194,34.79412435852828,33.49797984765051,30.213975151643638,29.163066453443765,25.548918689672394,27.031538671222975,25.132094351899706,34.150485094975444,33.517043283619074,31.404911902375755,29.066776774629567,28.961141381105495,32.80829181216377,35.19465104120799,35.48220863920472,25.643219137779937,32.25113438577547,21.944502287916762,23.588408137433746,24.744215119926018
ENSG00000005513,4.900775606018393,4.712418438065473,4.01793840585327,4.5137233708284095,4.488079907897667,5.189332535008528,4.436190435336431,4.334769992826765,5.17852052702385,4.469648076771196,4.449864776359655,4.659287775654685,4.078367491130778,5.102321115572849,4.513624428696887,4.7104496343286995,5.291314656908285,5.0860420034697835,4.512578241845171,4.8647706674578775,4.211997564413879,4.666816225604872,5.0613207858411755,4.901357216424309,5.846193222520332,4.796625229263269
ENSG00000005884,76.79385634702858,74.97821044439482,82.69061595965444,86.31261518567123,60.53221928749082,65.26971375368433,71.45910692749747,80.95816482117661,79.29285581276676,95.89712436787335,80.09072417298162,86.09367247976553,72.1060502016788,68.52496111614226,98.19259054886592,67.37133136964879,75.69895458495375,93.31197315797904,79.16837381833406,85.84030763492481,63.55967507508094,93.11456572514328,89.13949514160467,52.540646748537924,102.43431012312362,70.27952170234968
ENSG00000005961,6.153439349805458,6.238097304997272,5.0915265360679705,5.795505949253445,5.805601744094397,5.366872008965825,7.137726562242731,5.726950794964601,6.216948738448844,4.863569479635973,6.564600988092838,6.664249619145838,6.183069065008727,5.701500086762019,6.792148978562172,5.671866454901455,6.631875319434188,6.507571755409873,6.95934571108241,5.1507590930438685,6.143621812526843,6.331758178951275,7.379834797717169,7.603280741536334,5.923470468596682,5.867861553497734
ENSG00000006016,38.43060764657892,34.72890283452818,34.182792248315806,42.79578129141556,43.96928473071192,41.290448126412564,39.41111790801945,41.35598044599992,46.961262933982354,49.60934862700074,38.109864389079775,49.20034213404882,35.744387699777036,40.98521606232191,36.75953602417986,48.09975256387646,50.812517094993666,40.74982125912432,53.37561499665181,55.08687547383132,36.339048558908004,40.16610255980771,42.62189423672861,39.02368037314476,43.07445043079338,33.34725183078429
