0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000091844,24.564924734827034,19.39259245568335,18.622461495307437,21.627332045771418,28.560738333214065,18.472704820650335,21.78818970465683,20.419595823808514,21.488097173818993,27.608033945203577,25.712208579156744,25.840720980459796,20.411467919644195,23.356618142892653
ENSG00000091972,48.71428309053217,55.22374804570773,55.53468110492791,41.86300219881186,61.96660599189844,63.47641056273034,86.37289425876361,71.17841717124557,49.20739367166826,60.08944640011043,63.06656545653652,63.66275456393239,55.09034204711748,59.85146439778743
ENSG00000091986,84.72702107394974,104.65810314286335,93.97779579803432,73.50151147199017,90.5079237829462,111.26940772066654,80.75239665957034,86.8547055926504,65.17616525873359,122.27784627716056,110.54203639934087,79.60459189513867,79.92913331772695,138.86694349664418
ENSG00000092054,1.7779365766354316,1.7923922966445227,1.7180381128044375,1.7767340177550919,1.694702528219828,1.7192997717755856,1.7543293797963846,1.8397183335716438,1.6701014866395492,1.7035883058942425,1.7858197640089164,1.6984104811123875,1.7464032192332017,1.7010354008922755
ENSG00000092068,86.50107093994946,103.57825479433356,93.87999032436976,76.99669247744094,109.47617767822257,77.06807652353037,158.27221889832919,85.82217368836378,105.81202103559816,94.93022166816827,101.859297298924,105.18932310639205,103.16187280763987,84.49268789866123
ENSG00000092208,58.37759635791687,96.87504639965144,71.14001330312453,55.55222817477449,67.33407590643931,59.08257983664124,70.06428731442644,71.31572460913972,57.987681876066674,102.31477701016317,54.376826351256426,66.13934346973203,49.571788324887684,57.461120486295044
ENSG00000092295,30.33617633288743,29.40060644249787,41.477818754166776,42.42562680656701,31.285581715196034,32.78201807133089,41.70245955408777,30.973911290927823,40.616308171300126,29.58211518486618,36.96201757145298,34.667439954767815,33.02564109434294,30.97392795870276
ENSG00000092421,26.32950134725928,24.006640008356637,33.37563271873206,29.832730547901498,35.51309455093827,28.71567192992069,40.14676636351196,30.29842399441628,41.906013697545596,25.23392604438319,41.801317003774166,31.35788228642148,42.298550776779436,33.06296197831751
ENSG00000092607,43.02946419291264,32.83598107783316,37.330436540703495,25.894634649609003,36.08618848133982,36.34751164087875,31.498954463568023,23.782084321658715,30.707119716370677,34.438530672738885,36.18951782123948,35.845638055025894,29.479143919759323,31.707305744028904
ENSG00000092621,75.94993057829551,82.56932055362509,88.42900044248677,97.26670443943061,68.21802450531823,77.36379461167999,122.91004111237,65.53964007388603,92.30053002096727,95.96353156231366,88.75427264867504,79.78683707857259,64.52656193106817,77.46768452236367
ENSG00000092758,16.526990504476483,20.00801007386384,20.53194120763398,16.332899141729282,19.443516263446057,18.607236619184363,23.600116179617707,19.731190342080566,13.977701159667474,20.911943410031576,18.147673742939258,21.408647384468825,17.594537673677014,13.190911948874502
ENSG00000092929,70.964932415537,71.89369632209463,55.0546000845361,76.38936533996116,89.59524472905153,72.78543515996623,77.72689882976181,71.85762024700225,85.15822341360898,79.54737925882284,73.58918770722626,57.11746503771019,96.2199512257609,84.56167408855373
ENSG00000092964,102.17582968439363,127.36918985644976,107.12185344093132,117.71544770020951,93.9831564474066,122.96693634141238,95.4876739384668,103.96255036021455,112.64090406715239,135.0697119035186,143.07656530727704,107.76234941566622,116.33083389976609,143.9183017153829
ENSG00000092969,39.76109910394167,46.973597346326905,42.544699581852456,52.488065774210845,54.84416111211429,40.55496847869573,45.22142836264021,31.935185980398327,47.17447751677757,60.245793224874994,45.78509668531023,50.21932728494519,36.64476115775849,58.08870637031288
ENSG00000094804,61.13378789790203,84.49476603883699,48.86077845861536,56.39038644059116,78.59003875349147,88.70281406265293,84.18530372987938,63.64663389055932,71.86502430947702,45.27515050070564,75.78480931847416,80.34895520035903,60.55404760246546,61.5386322514273
ENSG00000095209,56.81176688657614,69.12091057484149,83.6814942035775,56.03737988914075,76.174208115944,63.28258503039241,65.87644848507847,54.77415516443068,61.077373132585265,50.59636400592986,74.88219480776611,56.44056636896964,64.96196757147936,57.04001871588147
ENSG00000095303,43.90319998514423,94.1162812675228,68.82806649406334,55.98529498932429,68.94698466014802,49.12323042012004,63.94468953678911,59.192446065072694,61.159738813383214,53.58757428281614,85.76375391706455,51.69528284112733,62.97546895527836,66.34364669364902
ENSG00000095370,63.368828959839284,58.608570519837166,44.99460844575316,50.117803185739014,60.3461014753268,70.33597732317983,62.41983141225862,55.51752708429403,52.595629375246205,55.49346035976176,67.44360231031449,60.461656353757775,61.53606813944208,65.60776884455656
ENSG00000095539,41.30236782824255,51.1645636214832,47.108280379243695,43.37318354170859,44.41335198085031,41.87849301328556,34.06367988559733,31.990114536986916,44.80773135273404,39.31251039964673,44.97016622149258,53.12636297267745,39.5751011721966,35.44873843410915
ENSG00000095739,78.44137466040365,105.00306215875588,78.7908356154052,79.68177989435588,83.00630130360283,92.62819962974928,70.2138178786294,69.5104119874207,83.06255671681201,90.95729793835115,62.70534004529223,78.55594028648129,74.59616654530977,81.57612503764517
ENSG00000095932,18.416649869443685,13.664963678334866,21.189241570388283,18.687148853014087,18.018779956582467,17.763121351134444,24.032609482107528,17.02238351527597,18.348208469661838,24.07943872015485,22.453214146439482,20.467567877009692,19.592685177715108,20.904439304425633
ENSG00000095970,95.10921359756382,142.64444514794982,108.08463590839666,92.9246973125951,110.86878419910514,85.70222695128231,117.21176612882725,134.3200436029315,156.60026800908352,154.6821655737826,135.56312682782283,115.05644609029807,126.86647976596149,123.86336629858049
ENSG00000096060,72.36895221666444,76.5597068946634,103.0441849159801,87.64952149707008,85.70424139492134,77.68480511780753,89.77214464653083,85.23040287637153,74.32836379480459,104.57284383406854,95.59123803879582,110.33514583068875,100.10587634015339,78.69158669927393
ENSG00000096088,79.44012267024623,115.43689988228321,108.5895334138381,136.79246990694975,113.29738390991432,127.6583399750164,115.31563209355478,121.02146936693279,103.98817417074854,113.0821135127526,80.58649863021186,77.45172633858982,133.36769000374318,100.44854713956242
ENSG00000096092,125.87258478784004,128.60491413142742,158.38654457937247,199.55632503784125,144.5230426251883,116.46133830044322,149.77740960804462,118.4687867978973,132.30779015491848,186.44510665786186,183.28660203307993,141.08183731551523,158.15748286136574,125.48123241398203
ENSG00000096696,110.55050048588649,178.453054688346,166.83168542407364,128.99336966825322,135.52142942383148,127.85182282334657,198.37924667698292,149.28055588383103,117.72780069037483,142.8287182253454,189.05727892340005,150.88647571993025,140.63297028615452,137.9842497090672
ENSG00000096872,63.8706172459232,51.81807718064262,59.206303850752384,59.69065137710652,63.36667246048452,63.18713684052983,68.22748804818701,46.56191009779728,49.774683116189195,63.49857884305584,45.483480548396194,34.14876447707304,43.83134110878463,49.19312725962922
ENSG00000096968,67.08220410984927,49.9411041833665,58.23063929174892,54.08835718633865,66.02690067245011,68.07850662180229,57.083824367542874,46.10151579079533,57.53361428745369,61.141718412222225,74.96194280683923,67.69585887743928,59.8572362736837,44.908842324836144
ENSG00000097021,96.03577708791455,110.80293447025161,101.70833441827156,79.23715023736685,80.92761870504866,103.60109074491963,99.87354614382812,92.05446869362746,74.8335302352719,97.4353871830324,140.0605959768889,86.93366627262878,83.44856070857098,86.2565223497885
ENSG00000099219,83.00554607950596,132.8394989143076,77.06628064068492,79.22342511053611,83.91716865790853,95.59682807801077,121.01020547329968,88.28719033430153,86.97046615216732,72.92302202400886,96.09752104682656,83.97258590738718,103.51355759509457,100.38286456559537
