i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.07037472263648614,0.07192790005835911,0.06986858936426142,0.07076387525164184,0.06974705994417679,0.07439771162069744,0.07103610145666155,0.07028580424135504,0.07330599236329151,0.07326643714451446,0.07015638178562594,0.07077472036076395,0.07249366611189911,0.07160103766026571
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.07328856675135038,0.0703504193210025,0.07220537661897172,0.07209392887693662,0.07108278965457743,0.0702305887785607,0.07192582447007854,0.07207680680172512,0.06888853463943205,0.07079063216440211,0.07293692798345792,0.07168796863974931,0.07042856348588715,0.07201307181386844
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.0717338282714916,0.07194165922565118,0.06970320989992393,0.0705446797051657,0.06968722289040191,0.07289321676625826,0.07192475424129255,0.0716527531689454,0.07064884804505928,0.07259262910566486,0.0709788423390076,0.07113697635905399,0.07260365618968274,0.07195772379240108
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.0708732534342011,0.07126839287757444,0.06994908214229353,0.06944229954623252,0.07091815737956612,0.07268144601849026,0.07037862700029586,0.06986350977906602,0.07259408126391341,0.07362062607061763,0.07248225199555722,0.07142888121037405,0.07280582072891179,0.0716935705529061
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.06859990158834202,0.07345271191835992,0.07198336467629597,0.07127217742659017,0.0705737897876896,0.0740647105935713,0.06973657036590365,0.07142625427855169,0.07453162003352162,0.07026673694864735,0.06978350689936644,0.07147482926607826,0.07362034270326485,0.06921348351381713
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.07102520485103667,0.07123152742157507,0.07270960078587527,0.07283944092104028,0.07277301218954237,0.06921919988579062,0.07351245893562042,0.07188306597976465,0.06844434923836502,0.06983846155940779,0.0730452099405848,0.0715601742840575,0.07018191282015403,0.0717363811871856
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.06947297506471921,0.07275013697855444,0.07094622361916675,0.07163398780668008,0.0701426164093776,0.07409460363210359,0.07047198791664291,0.07041917973555244,0.07412817090755727,0.07147586513222756,0.06970254312225209,0.07127474484403327,0.0737446412225788,0.06974232360855386
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.07173863202526952,0.07180762479774533,0.07034686804913197,0.06984704745359155,0.06945064708708505,0.07478321528098551,0.07131955598835005,0.07102398367734515,0.07222515674713924,0.07158015780456696,0.07174987689149667,0.07063900721610718,0.07274196313441637,0.07074626384676948
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.07190403438783154,0.0717644484969256,0.06995957300816723,0.07054984649185973,0.07019452089614031,0.07344794920293547,0.07003306871548096,0.07056241133467658,0.07260931032542378,0.0754495713701888,0.0703262028574159,0.07085938153129077,0.07070161235833476,0.07163806902332849
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.07036220567546697,0.07161829551826171,0.0732357400722179,0.0720020983080163,0.07239085718185344,0.06970510330695937,0.0722636058720742,0.07134059271250077,0.07074941361145635,0.06964059237447157,0.07221101939524562,0.07268079182102509,0.07031524113964874,0.0714844430108019
