,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
ENSG00000013810,0.00037314383867227967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000014914,0.00019473034670576994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000015475,0.0,0.0009398180145729598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000015479,0.0,0.0,0.0,0.0,0.0,0.0002672477592303265,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000018280,0.0,0.0,0.0004231303342590109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000018625,0.0,0.0,2.3022755202881053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019102,0.0,0.0,0.0,0.004168229132992823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019169,0.0,0.0,0.004543157026701861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019549,0.0,0.001145396636414238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019991,0.0,0.0,0.00012243919812441288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000020633,0.0002792921486391624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000021300,0.0002491595628797986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000021826,0.0,0.0,0.0,0.0,0.0,0.0,0.017294670656872527,0.0,0.0,0.0,0.0,0.0
ENSG00000022567,0.00020914158337329177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001490924805531547,0.0,0.0,0.0,0.0
ENSG00000023287,0.0005147550816283411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023445,0.0,0.0,0.0,0.0027561905993405316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023839,0.0,0.00019611948279950157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023909,0.0,0.00150169087365449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000025423,0.0,0.0,0.001357993727345696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000025708,0.002130600105333039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000026103,0.00034039102806427557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000026297,0.00031633259990857795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000029153,0.0,0.0007132190837499558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000029534,3.811236143476843e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000031081,0.0,0.0,0.0006052193981363428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000033327,0.00027309888990601253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000033867,0.00010230787022645651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000034677,0.0007160359904557119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
