"","MMdarkred","MMorange","MMdarkturquoise","MMlightyellow","MMcyan","MMlightcyan","MMroyalblue","MMdarkgrey","MMblack","MMdarkorange","MMsalmon","MMgrey60","MMturquoise","MMred","MMmagenta","MMpurple","MMgreen","MMyellow","MMdarkgreen","MMlightgreen","MMgreenyellow","MMtan","MMbrown","MMmidnightblue","MMblue","MMpink","MMgrey"
"ENSG00000255135",0.0456904331069701,-0.0422697147491779,-0.0177475790871365,0.0125455443465249,0.100406797177196,0.627899441281401,0.000688428350116144,-0.0258223188551962,-0.0240847332335652,0.0167349560576743,-0.0460269948165795,-0.0418626906716136,-0.0429166073495227,0.0307135129381115,0.239079583049097,0.019786762551434,-0.0509620359322979,0.0355434103653214,0.0604729762399469,0.00124654842121121,-0.000555401032369699,-0.18406606912289,-0.0026574767502865,-0.011812192112187,-0.0657274931114994,-0.0601397726360318,0.182537672629575
"ENSG00000255158",-0.0368527852854615,0.0140648028639584,0.0798576364212011,-0.0230703280176195,0.00663587749280532,0.0255908423909822,0.0364237319297901,0.0332274387348376,0.248624807179789,0.280621772761835,0.400396924337082,0.466220908149878,0.871255244622326,-0.00198725418024137,-0.0497378287211054,-0.00375364098934952,0.0398515351066208,-0.0240773254468388,0.001530113605451,-0.00406499705434855,-0.0668328521378614,0.063982045577636,0.0104025328590192,0.00702637401181708,0.00152949317478617,-0.0135648789330091,-0.0143707185590137
"ENSG00000255198",0.0712387690093049,-0.0626858212740846,-0.025334663755177,0.0411136318737191,-0.0413524542292481,-0.0129574027700608,0.0213019275836851,-0.0660587417647513,-0.0534558451138472,-0.0613029946912082,-0.0761303300702473,-0.0546412339141498,-0.0917778271552129,0.0257872947144533,0.38182553724404,0.0400199517284614,-0.110949064487216,-0.0207575117751763,0.0611461297221351,-0.0219908601825749,0.070293648613116,-0.139504522019161,-0.0245341913636867,-0.0167928483077205,-0.150576000074208,-0.0875055863458168,-0.0250378562149893
"ENSG00000255201",-0.0354542407336602,0.027802192100502,0.0109697173347197,-0.0152820489579278,0.537131905375759,0.0504325023373273,-0.0103213288970104,0.00261696889037179,0.0030429316241534,0.0255395958433299,0.0780076708384191,0.0500793456386274,0.0335294778877413,0.00905911415383598,-0.0493899368957057,-0.0162867019834258,-0.0432639283210639,-0.108442154458154,-0.00294388751310887,-0.0239505236260461,-0.0629808424701052,-0.117720530167909,-0.00615069761783974,-0.0169856236413929,-0.00993504798190739,-0.00666105003952135,-0.0833722037849803
"ENSG00000255438",-0.0289675008250342,-0.0247440571946036,0.0189602107672611,-0.0464825927337729,0.0429180338240998,0.0246011363267106,0.0314193130544506,0.0424485572632357,0.263636416540472,0.418041529756001,0.236151671305076,0.388199552427818,0.783472728469186,0.0121729451595703,-0.0826970719832098,-0.00287039037077991,0.0127826680706521,-0.044182862301987,-0.00292144498513047,-0.01333350686984,-0.0324458570974607,0.127761690214314,0.000543277296953759,0.000523485192595018,-0.0310860020870183,-0.038226022215095,-0.0664442999828654
"ENSG00000255443",-0.00753173829063849,-0.0655404343766634,-0.0255916148858223,-0.0931019615925888,0.0158881960857279,0.0571735962953137,0.0153795877750454,0.0326850552950957,0.312961541347358,0.273166196229519,0.1570656682595,0.311749761178603,0.70431146427698,-0.0080472409879126,-0.0835535783825219,-0.00162542855899099,0.000844716078114211,0.00202366174353139,-0.0165028006348171,-0.00599808204814171,-0.0889864074212201,0.0568056861239877,-0.00617270468551216,-0.0128742642441673,-0.0449900993319761,-0.0117264192415364,0.0134380760897831
"ENSG00000255449",-0.0245182964120629,-0.00675540024725539,0.0339735878482785,-0.0372270866742797,0.0435412729572653,0.474341153217175,0.0182347483471092,0.020519783201646,0.224953206724065,0.369665576923882,0.157916041426283,0.424306796598798,0.705981257193639,-0.00820084593274002,-0.0512687389359001,-0.00168228806920933,-0.0126102462383629,-0.00768718743957598,6.08421827817078e-05,-0.0335190522030383,-0.0673135492838653,0.0206725872824814,-0.00159878345488318,-0.012221973760832,0.00406031720382782,-0.0134340819454587,-0.0499431068435725
"ENSG00000255539",-0.00516075175991769,0.133073409839178,0.109757863853113,0.00254920650427493,0.00432036214365171,0.0430277811447334,0.0232612497432216,0.032147165450745,0.305653169607157,0.312551674859352,0.201742961735158,0.345172241514095,0.674649163491857,-0.00572718755274554,-0.0721550940702497,-0.00240689642145681,0.0912233060486575,-0.0310117498855096,0.00421096074979686,-0.0135424154146735,-0.0538593296452865,0.0686878999246566,0.00504784094671311,-0.0031606912690939,-0.019633805896011,-0.0409306990980444,-0.0204706439807648
"ENSG00000255585",-0.0241058061252842,0.00237175051531435,0.0974512037804181,-0.0300789280659878,0.011243853077712,0.0273013318605924,0.0357793679126438,0.0475430845875393,0.300422617117061,0.312917616836149,0.307238094665265,0.614784620223217,0.971617784846511,-0.00184711475433853,-0.082351515426532,-7.68911505604257e-05,0.0338408888782008,-0.0183412253288805,-0.00438280426806987,-0.0153249130624147,-0.0617866422195525,0.102342303748035,0.00624973889371354,-0.00287880488455886,0.00124342358063507,-0.0160558967233059,-0.0511360236693193
"ENSG00000255670",-0.0303660927499761,0.00537828478331941,0.0915393744475973,-0.0513948226310893,0.0189212585923364,0.0307304722335059,0.0285415589847661,0.0485168224498079,0.264077490120107,0.29505181614017,0.363319985410081,0.619640301928288,0.943048786422462,-0.00734538264636351,-0.106953158307326,-0.00752665905145309,0.0170659661380851,-0.0320725026180441,-0.00840735677146999,-0.0187672961339969,-0.0858288307514846,0.0861610103007436,0.0136128507851051,0.000363110828809067,0.039433386921844,0.020102151531495,-0.0548580213844404
