Topic 1,Topic 2
MAGEA4,MAGEA4
SFTPC,SFTPC
MT-ATP8,MT-ATP8
MT-ND2,MT-ND2
SCGB1A1,MT-ND6
MT-ND6,GAPDH
GAPDH,SCGB1A1
S100A6,S100A6
MAGEA9B,S100A9
S100A9,MT-ND5
MT-ND5,HLA-DRA
HLA-DRA,NAPSA
NAPSA,SLPI
SCGB3A2,SCGB3A2
SLPI,SCGB3A1
SCGB3A1,MAGEA9B
KRT5,KRT5
HBB,HBB
S100A8,S100A8
AGER,AGER
HBA2,KRT6A
