,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
DNTTIP1,4526.415639984997,1690220.3492744842,3031.9374494455737,4609.712265680606,3576.558716759093
DOCK2,1539.7891126523714,575426.2961077084,1494.1914543106566,1731.9197118075126,1121.6474471744723
DOCK8,898.8647450700942,516324.06311033195,1098.5379796747395,1600.2761289153768,885.1965436551114
DOK2,1848.0057824410196,925693.7677716925,2368.5286895329236,2730.9647845637223,1742.4217160789642
DPCR1,410.36569905929355,203216.94836659436,1137.4408517679358,538.8055583846334,327.772885270324
DPEP1,212.8170696293102,87753.05147102007,153.1993543016279,152.6487170853103,121.54642586993941
DPEP2,900.4520736739548,416444.8594128818,697.0424163529291,1341.8904927090473,798.075700437661
DPEP3,23.103935774370477,23494.927681467587,13.808370954477466,16.3342592032051,16.024091917293777
DPP4,1889.6615335377762,690653.6376857309,1474.8548238494393,1927.6425307768861,1225.1554862113217
DPPA2,32.39255796093096,10795.623033737329,10.169378378902051,26.630441971085034,12.780822120703439
DPPA3,3.5744013036163333,2861.3385847084983,2.117909770286809,2.985972218079968,2.5585339225435915
DPPA4,8.12396921262816,4420.034564708941,5.785799292458148,7.098715685384224,7.107985771519341
DPPA5,4.660437095022717,2389.2468354940356,5.59546211895689,6.788971239986138,4.526463589399629
DPRX,11.760227724402753,3084.8310928064366,6.0210563129611705,9.769912881210523,7.512032004160292
DPT,3485.278354814246,1109905.9352912349,2548.167398993129,4047.1657204764106,2519.2403664953567
DPYSL2,6175.817084192304,2395175.898040482,5188.381340822686,8192.586535668695,5209.207987904888
DPYSL5,11.615077618132059,10715.180130251043,10.643309805306782,12.994515219522707,13.75396773547783
DRAM1,3810.363567400428,2047927.6162273036,3177.844215426483,4163.276309366077,3430.0343133248357
DSC1,22.23482487580926,11992.845763262285,43.32766758089399,14.578878381526053,22.99119722890812
DSC2,700.6543275869992,615541.8092833265,604.1176796196796,640.2184751114253,630.7822331310934
DSC3,957.7058349381189,821160.4901477486,1732.3567206968207,1698.9347468928097,754.2585256915621
DSCR4,32.463837088616884,5569.205760507207,21.430813531767022,11.574298546370965,24.2673067397432
DSCR8,66.0457208903793,43101.03915144997,85.64418116493958,73.0566762949152,110.9762727848905
DSG1,58.783021141720155,39741.695373218536,155.2937139041992,39.07918896510753,108.57045548826973
DSG3,9401.913591683073,2641766.8350019027,9012.676365585865,8259.423820812686,14220.976141720936
DSP,3047.089767714764,2246646.9354590047,2127.05676691701,2088.267732953702,1933.776766776134
DUOX1,2561.220605182286,1705242.0270388897,2574.4866679449137,5499.0576048284975,1146.2661078434521
DUOX2,266.0205731484878,161762.2646665616,370.253756743775,301.8196808809734,230.62065784474285
DUOXA1,2119.3190418599097,1425670.4954294232,1508.453232479161,4536.749056498408,1227.3761684491842
DUOXA2,126.4293544341623,70056.8188733766,180.31862065945305,177.87868166894881,90.3536226331536
DUSP13,120.36342630578571,46780.05399837467,87.51212001489395,142.4198698223097,108.2619944054446
