i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.21357285429141717,0.013972055888223553,0.5828343313373253,0.1317365269461078,0.041916167664670656,0.015968063872255488
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.18840579710144928,0.005434782608695652,0.572463768115942,0.17753623188405798,0.036231884057971016,0.019927536231884056
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.1449814126394052,0.0055762081784386614,0.5390334572490706,0.26394052044609667,0.01858736059479554,0.027881040892193308
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.21513353115727002,0.008902077151335312,0.4836795252225519,0.2344213649851632,0.02225519287833828,0.03560830860534125
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.2256,0.0064,0.5104,0.2112,0.032,0.0144
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.19636363636363635,0.005454545454545455,0.5763636363636364,0.17454545454545456,0.034545454545454546,0.012727272727272728
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.21898928024502298,0.007656967840735069,0.5038284839203675,0.2113323124042879,0.030627871362940276,0.027565084226646247
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.1989342806394316,0.003552397868561279,0.5435168738898757,0.20071047957371227,0.03019538188277087,0.023090586145648313
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.22044728434504793,0.006389776357827476,0.512779552715655,0.2108626198083067,0.03194888178913738,0.01757188498402556
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.19864176570458403,0.006791171477079796,0.5398981324278438,0.2071307300509338,0.03225806451612903,0.015280135823429542
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.19210977701543738,0.0,0.5317324185248714,0.23842195540308747,0.018867924528301886,0.018867924528301886
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.23233908948194662,0.006279434850863423,0.5007849293563579,0.21350078492935637,0.0282574568288854,0.018838304552590265
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.17773788150807898,0.012567324955116697,0.5350089766606823,0.22621184919210055,0.03770197486535009,0.010771992818671455
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.1936127744510978,0.011976047904191617,0.5808383233532934,0.15169660678642716,0.03992015968063872,0.021956087824351298
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.2198952879581152,0.0,0.5479930191972077,0.17452006980802792,0.034904013961605584,0.02268760907504363
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.23042168674698796,0.009036144578313253,0.4789156626506024,0.22590361445783133,0.03162650602409638,0.024096385542168676
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.2220496894409938,0.006211180124223602,0.5046583850931677,0.2111801242236025,0.029503105590062112,0.026397515527950312
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.16366906474820145,0.0035971223021582736,0.5611510791366906,0.22661870503597123,0.025179856115107913,0.019784172661870502
