i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.05788423153692615,0.005988023952095809,0.08982035928143713,0.003992015968063872,0.03992015968063872,0.007984031936127744,0.0,0.14570858283433133,0.007984031936127744,0.05588822355289421,0.005988023952095809,0.001996007984031936,0.19760479041916168,0.03992015968063872,0.1497005988023952,0.01996007984031936,0.001996007984031936,0.033932135728542916,0.0,0.013972055888223553,0.003992015968063872,0.011976047904191617,0.015968063872255488,0.0,0.0,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.02594810379241517,0.007984031936127744,0.0,0.005988023952095809,0.003992015968063872,0.001996007984031936,0.00998003992015968,0.005988023952095809,0.011976047904191617,0.0,0.003992015968063872,0.001996007984031936,0.001996007984031936
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.043478260869565216,0.0018115942028985507,0.07427536231884058,0.010869565217391304,0.034420289855072464,0.010869565217391304,0.0036231884057971015,0.1358695652173913,0.007246376811594203,0.043478260869565216,0.005434782608695652,0.0018115942028985507,0.20652173913043478,0.030797101449275364,0.15579710144927536,0.02355072463768116,0.0018115942028985507,0.041666666666666664,0.0018115942028985507,0.030797101449275364,0.0036231884057971015,0.016304347826086956,0.018115942028985508,0.0018115942028985507,0.0018115942028985507,0.0018115942028985507,0.0018115942028985507,0.0036231884057971015,0.03260869565217391,0.009057971014492754,0.0,0.0018115942028985507,0.010869565217391304,0.0,0.010869565217391304,0.0018115942028985507,0.009057971014492754,0.0,0.005434782608695652,0.0018115942028985507,0.0018115942028985507
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.02973977695167286,0.0,0.05947955390334572,0.01858736059479554,0.016728624535315983,0.0037174721189591076,0.007434944237918215,0.13197026022304834,0.007434944237918215,0.031598513011152414,0.0055762081784386614,0.0018587360594795538,0.1895910780669145,0.022304832713754646,0.1579925650557621,0.01858736059479554,0.0037174721189591076,0.03717472118959108,0.0018587360594795538,0.03903345724907063,0.0037174721189591076,0.01858736059479554,0.01858736059479554,0.0,0.0018587360594795538,0.0018587360594795538,0.0,0.0055762081784386614,0.05762081784386617,0.020446096654275093,0.0037174721189591076,0.007434944237918215,0.016728624535315983,0.020446096654275093,0.00929368029739777,0.0018587360594795538,0.011152416356877323,0.0055762081784386614,0.007434944237918215,0.0018587360594795538,0.0018587360594795538
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.07270029673590504,0.002967359050445104,0.06379821958456973,0.026706231454005934,0.020771513353115726,0.004451038575667656,0.00741839762611276,0.10979228486646884,0.005934718100890208,0.04747774480712166,0.004451038575667656,0.001483679525222552,0.17655786350148367,0.025222551928783383,0.13353115727002968,0.020771513353115726,0.001483679525222552,0.04451038575667656,0.001483679525222552,0.04302670623145401,0.002967359050445104,0.01483679525222552,0.011869436201780416,0.001483679525222552,0.00741839762611276,0.001483679525222552,0.0,0.004451038575667656,0.04747774480712166,0.01483679525222552,0.001483679525222552,0.005934718100890208,0.016320474777448073,0.01483679525222552,0.008902077151335312,0.004451038575667656,0.005934718100890208,0.004451038575667656,0.01483679525222552,0.0,0.001483679525222552
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.0784,0.0,0.064,0.0224,0.0304,0.0112,0.0048,0.12,0.0064,0.0496,0.0048,0.0016,0.1888,0.0304,0.1376,0.0224,0.0032,0.04,0.0016,0.0368,0.0032,0.016,0.016,0.0,0.0016,0.0016,0.0016,0.0048,0.0368,0.0128,0.0016,0.0048,0.0128,0.0048,0.0096,0.0032,0.0064,0.0016,0.0032,0.0016,0.0016
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.04727272727272727,0.0018181818181818182,0.07636363636363637,0.005454545454545455,0.03272727272727273,0.007272727272727273,0.0018181818181818182,0.13636363636363635,0.007272727272727273,0.05272727272727273,0.005454545454545455,0.0018181818181818182,0.20727272727272728,0.02909090909090909,0.15636363636363637,0.025454545454545455,0.0018181818181818182,0.03636363636363636,0.0018181818181818182,0.02727272727272727,0.0036363636363636364,0.02,0.01090909090909091,0.0018181818181818182,0.0018181818181818182,0.0018181818181818182,0.0018181818181818182,0.0018181818181818182,0.04,0.012727272727272728,0.0018181818181818182,0.0036363636363636364,0.007272727272727273,0.005454545454545455,0.01090909090909091,0.0018181818181818182,0.0036363636363636364,0.0,0.0036363636363636364,0.0018181818181818182,0.0018181818181818182
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.07350689127105667,0.0030627871362940277,0.07044410413476264,0.02450229709035222,0.02909647779479326,0.009188361408882083,0.004594180704441042,0.11791730474732007,0.006125574272588055,0.04747320061255743,0.004594180704441042,0.0015313935681470138,0.17611026033690658,0.02909647779479326,0.13935681470137826,0.021439509954058193,0.0030627871362940277,0.042879019908116385,0.0015313935681470138,0.039816232771822356,0.0030627871362940277,0.015313935681470138,0.013782542113323124,0.0015313935681470138,0.004594180704441042,0.0015313935681470138,0.0015313935681470138,0.004594180704441042,0.03215926493108729,0.013782542113323124,0.0030627871362940277,0.007656967840735069,0.01225114854517611,0.007656967840735069,0.009188361408882083,0.0015313935681470138,0.006125574272588055,0.0030627871362940277,0.010719754977029096,0.0,0.0015313935681470138
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.055062166962699825,0.0,0.06039076376554174,0.014209591474245116,0.028419182948490232,0.003552397868561279,0.0017761989342806395,0.12433392539964476,0.007104795737122558,0.046181172291296625,0.0053285968028419185,0.0017761989342806395,0.20426287744227353,0.03197158081705151,0.15452930728241562,0.017761989342806393,0.0,0.04262877442273535,0.0017761989342806395,0.037300177619893425,0.003552397868561279,0.019538188277087035,0.015985790408525755,0.0017761989342806395,0.003552397868561279,0.0017761989342806395,0.0,0.0017761989342806395,0.037300177619893425,0.010657193605683837,0.003552397868561279,0.003552397868561279,0.008880994671403197,0.015985790408525755,0.012433392539964476,0.003552397868561279,0.008880994671403197,0.0053285968028419185,0.0017761989342806395,0.0017761989342806395,0.0
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.07348242811501597,0.003194888178913738,0.07028753993610223,0.01437699680511182,0.03035143769968051,0.006389776357827476,0.004792332268370607,0.12140575079872204,0.006389776357827476,0.04792332268370607,0.004792332268370607,0.001597444089456869,0.1805111821086262,0.02875399361022364,0.14057507987220447,0.023961661341853034,0.0,0.04153354632587859,0.0,0.03354632587859425,0.003194888178913738,0.01597444089456869,0.01437699680511182,0.001597444089456869,0.003194888178913738,0.001597444089456869,0.003194888178913738,0.004792332268370607,0.03354632587859425,0.01757188498402556,0.003194888178913738,0.006389776357827476,0.01757188498402556,0.007987220447284345,0.012779552715654952,0.003194888178913738,0.006389776357827476,0.001597444089456869,0.004792332268370607,0.001597444089456869,0.001597444089456869
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.05602716468590832,0.003395585738539898,0.06960950764006792,0.008488964346349746,0.030560271646859084,0.006791171477079796,0.001697792869269949,0.1307300509337861,0.006791171477079796,0.04923599320882852,0.0050933786078098476,0.001697792869269949,0.19185059422750425,0.030560271646859084,0.14770797962648557,0.01867572156196944,0.0,0.03904923599320883,0.001697792869269949,0.028862478777589132,0.003395585738539898,0.01697792869269949,0.01867572156196944,0.001697792869269949,0.0,0.001697792869269949,0.003395585738539898,0.001697792869269949,0.04753820033955857,0.013582342954159592,0.003395585738539898,0.0050933786078098476,0.013582342954159592,0.010186757215619695,0.011884550084889643,0.003395585738539898,0.008488964346349746,0.0,0.003395585738539898,0.001697792869269949,0.001697792869269949
