"","x"
"e24662bd-3b02-4762-b306-75f98b700375.FPKM.txt.gz",1
"944c109e-c6eb-4073-bac9-541585602d59.FPKM.txt.gz",1
"96978a72-9b98-4238-abab-cbf1c41bf5f8.FPKM.txt.gz",1
"9a07164a-711f-460d-a2cb-43651c85bcde.FPKM.txt.gz",1
"b2bd3b9d-2380-47bb-a13d-a4e7a00d6740.FPKM.txt.gz",1
"113872f7-02c9-4a3f-9af6-fd70130c458a.FPKM.txt.gz",1
"9c62a984-f89a-4838-af13-786468b293c1.FPKM.txt.gz",1
"7d6848a5-7dfc-4494-9095-4e89fea1aee5.FPKM.txt.gz",1
"2fa4738b-04ba-4d04-b95a-1f9b08cba802.FPKM.txt.gz",1
"55e976c2-4953-4014-8264-6c703a5eacbc.FPKM.txt.gz",1
"22c44a19-4cbb-4950-acf5-8d23a3fcb0a7.FPKM.txt.gz",1
"971ad289-437b-4c53-8d7c-6b6e9000aab5.FPKM.txt.gz",1
"f7a7853b-6fd7-4b89-b567-3798df13b4fd.FPKM.txt.gz",1
"d4ab2d5f-6980-4974-8f65-5e260bb6fb7d.FPKM.txt.gz",1
"0bf53fc6-b8fb-4e6d-9297-4129c708f3da.FPKM.txt.gz",1
"d6ee768c-7705-468c-bc8a-298c71ce1c8d.FPKM.txt.gz",1
"c1a0244b-d1df-4457-b21d-14006133525a.FPKM.txt.gz",1
"5c7f58e7-f1a5-44e5-a6f5-853c83b84016.FPKM.txt.gz",1
"47caf079-95ad-4c12-b8cf-fb333f72900d.FPKM.txt.gz",1
"c03b9756-2611-404f-ba89-79e7143381bb.FPKM.txt.gz",1
"898379ca-0a5c-4436-95d1-bb50239864ea.FPKM.txt.gz",1
"f64e55d6-0f87-4a4d-a95e-c0b82f7268db.FPKM.txt.gz",1
"d31beca5-e987-4def-906a-63f68ecc5c7a.FPKM.txt.gz",1
"6d158f35-9847-41fd-814e-9bb63cca955f.FPKM.txt.gz",1
"1731040e-8598-4766-b768-505805c0d92b.FPKM.txt.gz",1
"58ce6671-f931-42fc-acb2-fac1ad460a22.FPKM.txt.gz",1
"c28c0258-a9e8-45fa-8f53-6dd36e38e854.FPKM.txt.gz",1
"d23a059b-5f83-4044-9694-94e641d763ed.FPKM.txt.gz",1
"65a21b09-322b-47cf-86bf-88916094c4f7.FPKM.txt.gz",1
"60040f95-8414-4956-bd8a-ec461a49207c.FPKM.txt.gz",1
"cd961e28-af13-4780-a068-35ff5548a3d2.FPKM.txt.gz",1
"96717cca-f561-43ee-8fac-74c9aa43c202.FPKM.txt.gz",1
"c9381f51-ec09-4487-88a4-8e94452e4893.FPKM.txt.gz",1
"bcd07e88-975d-4f4b-9b2e-33ad0f2211f3.FPKM.txt.gz",1
"78a560b2-9ce7-43c9-9d77-dac465e13a0c.FPKM.txt.gz",1
"2ef45476-2bea-4b74-9d97-a33898386d5e.FPKM.txt.gz",1
"9813b5d6-2309-4e67-85c0-1fae01d9672d.FPKM.txt.gz",1
"8f4891e2-55c1-48f4-bdce-c3848f74b8dc.FPKM.txt.gz",1
"a874f8c4-d1f9-4122-b78a-7bc017878fd3.FPKM.txt.gz",1
"54e1ee85-dbfa-499a-9bdd-6935a7661970.FPKM.txt.gz",1
"0b89acda-ea9e-4a21-83f8-e3195f4395e9.FPKM.txt.gz",1
"ec2c4c86-5eaf-4f58-8da7-a9528f9922b9.FPKM.txt.gz",1
"48a39e37-0380-4465-8311-6c5c6aff522a.FPKM.txt.gz",1
"78f79907-8bb5-408e-8bec-4dbe0d81174a.FPKM.txt.gz",1
"cb537a4c-7b5c-493f-8dea-6fd0107e6c58.FPKM.txt.gz",1
"fc867c2d-8e5d-4e2a-80b2-48be873efc56.FPKM.txt.gz",1
"072e3af5-5598-4189-ab06-c5455442f322.FPKM.txt.gz",1
"b7fcdf45-6b26-46e8-aa40-2761354d1251.FPKM.txt.gz",1
"9b77c8a1-a670-4011-82d7-bc4cbab06486.FPKM.txt.gz",1
"513de6b7-faa2-4611-9f68-1334204ef397.FPKM.txt.gz",1
"c71da743-de94-46d0-9ec0-fed1574845b9.FPKM.txt.gz",1
"05582ed0-da34-418a-b96e-fb4505e9ee03.FPKM.txt.gz",1
"b468a0f7-2b37-4988-a179-34870f3ff1fb.FPKM.txt.gz",1
"1da49483-5cea-4652-8357-e8fba5f77268.FPKM.txt.gz",1
"5af9de4f-1220-4e7f-a58e-fd3473418754.FPKM.txt.gz",1
"2fec727f-b73d-4ae0-8b3c-5e85483e39d8.FPKM.txt.gz",1
"2391658d-7cf2-4a09-8dd5-19ea7a37dadf.FPKM.txt.gz",1
"be6f5b47-f164-4947-9b35-02f94248e462.FPKM.txt.gz",1
"708e035d-e38b-4969-a96e-f7c324b3f8a3.FPKM.txt.gz",1
"58f98e52-c594-4bea-bf7d-9f75c09d0917.FPKM.txt.gz",1
"c763a179-e1ba-43a6-b34f-cbe73098e535.FPKM.txt.gz",1
"cfccab4c-4b17-4012-a19b-5141f7a5b68f.FPKM.txt.gz",1
"acec1346-4e7b-4e74-bc33-980e56dfafee.FPKM.txt.gz",1
"36c6972a-3041-478c-a68d-702af9cc4954.FPKM.txt.gz",1
"7d9b1591-42eb-4d02-978e-0a194d498d6c.FPKM.txt.gz",1
"4b539965-2208-4574-8281-6109028eeec3.FPKM.txt.gz",1
"6095b94e-2101-4128-ae51-f0c77daf7811.FPKM.txt.gz",1
