"","MMgrey60","MMsalmon","MMyellow","MMbrown","MMblue","MMmidnightblue","MMcyan","MMgreen","MMmagenta","MMred","MMblack","MMpurple","MMgreenyellow","MMlightcyan","MMturquoise","MMpink","MMtan","MMgrey"
"ENSG00000000938",-0.0219171678240179,0.0896597844615172,0.262917414617091,0.942531069550158,0.598733020804688,0.501934230914549,-0.00556804359945339,-0.0106703875594149,0.0730896761958077,-0.0200437989759226,-0.0761044411662403,-0.0377965976874971,-0.00452635726953638,-0.0703781653885428,0.0200209211260974,-0.0211868674436421,-0.0507956552523368,-0.29593253068812
"ENSG00000001084",-0.0685001203568792,-0.0470332636574609,-0.165747246400617,-0.214226341405628,-0.250145823309599,-0.278354850081601,-0.0181536428409291,-0.130878588772761,-0.0275116590295734,-0.00116132765502474,0.0413958027933489,-3.74062754354785e-05,0.0112377287783056,0.0463227482831611,-0.0282074630168646,-0.0515521411722335,0.0518414964507905,0.537724203681228
"ENSG00000001631",0.00503762736111453,-0.0107353548456535,-0.00668298553820402,-0.091402250751556,-0.0747161065074021,-0.106587360278825,-0.01520130399385,-0.043231302951557,0.0217203048205479,0.00748044380547539,0.0625862739856902,0.029408997075697,0.0221010881756742,0.983018587045542,0.171586918381708,0.0332400848037574,0.0270362586221913,0.130068221197756
"ENSG00000002933",-0.0220297577828501,0.24738642829714,-0.0706660221199876,0.0400657669301654,-0.0755580455062111,-0.0802690493973336,0.0730290924916355,0.0540476481301413,-0.0452736858587275,-0.0244981141053484,-0.0521822972917846,-0.0571966164055811,0.00724574129471216,-0.0714264578965979,-0.0548983942540703,0.0204364447705879,0.00621333476955125,-0.171106193972734
"ENSG00000003147",0.0308818795275669,0.0199389216929657,0.0470630151102132,-0.137507999382152,-0.0774974301456145,0.0215996647112674,0.00381026431109386,-0.151182586652522,-0.0900427683807348,0.170654738454034,-0.00346885770377851,-0.0759754691442044,0.0598702436898762,-0.000750129032481308,0.102806459704186,-0.0472925873866882,-0.076401416685531,-0.541682384636067
"ENSG00000003436",-0.00924296483105661,0.238020231629262,0.0870610124881657,0.123782008506974,0.130851619335446,0.323128091432011,-0.065515151489773,-0.132294441756799,-0.0732164175884553,-0.0398882789687304,-0.0723740943709684,-0.0895867588594704,-0.0291210185428324,-0.0256822907641379,0.127912579163889,-0.0924187309709099,0.0717644478539605,-0.383659259421154
"ENSG00000003989",-0.012498495684694,0.0782452763384812,-0.0238773515388101,-0.133195562946929,-0.0063872914507248,0.0160475596220396,-0.0234033503377694,-0.0463698550672936,-0.0607989263555072,-0.0299837014966625,-0.0265442079670156,-0.0430955748137825,0.022346442433545,-0.045190214857756,0.0114483915749435,-0.0246509315697698,-0.0488735279467307,-0.24452675172106
"ENSG00000004399",0.0126723474406896,-0.0611076088849626,0.181215680502853,0.304504212676298,0.367042848286586,0.298492283534473,-0.013680152249698,0.117574950330951,0.0283521673663045,0.0163363465897451,-0.0688258101461128,-0.0690572237135736,-0.017237615769986,-0.014686345280209,0.0625051311082783,-0.0364746953480926,-0.107992341486635,-0.538238599417531
"ENSG00000004776",-0.00025137046644007,-0.00631843667503292,0.325735779442759,0.483893160759704,0.786981012457818,0.549811221793533,-0.0294015046912163,0.00920505276596906,0.0295005116038721,-0.0179889531708651,-0.0807558026617158,-0.0389559553704827,-0.00214585933564171,-0.0764781986943566,-0.0274050360642939,-0.0231236088506213,-0.0886919994955193,-0.394762934848324
"ENSG00000004799",0.00645527861326391,0.163873200791259,0.326815640319114,0.379856362437004,0.685078820827709,0.510018624205127,-0.0171402681963568,-0.0782675223815926,0.0075633635506023,0.00854701863011262,-0.0611551641929464,-0.0343932489162265,0.0393839318559096,-0.0151263726308965,0.134955093913671,-0.0706495583762369,-0.0900709378588967,-0.410100549723016
