MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
,,,,ENSG00000179094,,,,,,,,,,ENSG00000245275,,,ENSG00000221829
,,,,ENSG00000179820,,,,,,,,,,ENSG00000245293,,,ENSG00000221926
,,,,ENSG00000182575,,,,,,,,,,ENSG00000245532,,,ENSG00000225177
,,,,ENSG00000183087,,,,,,,,,,ENSG00000245711,,,ENSG00000226084
,,,,ENSG00000184113,,,,,,,,,,ENSG00000246250,,,ENSG00000226328
,,,,ENSG00000184500,,,,,,,,,,ENSG00000246451,,,ENSG00000226415
,,,,ENSG00000184730,,,,,,,,,,ENSG00000246851,,,ENSG00000228109
,,,,ENSG00000185303,,,,,,,,,,ENSG00000246859,,,ENSG00000231770
,,,,ENSG00000185432,,,,,,,,,,ENSG00000248019,,,ENSG00000233966
,,,,ENSG00000186517,,,,,,,,,,ENSG00000248254,,,ENSG00000237649
,,,,ENSG00000186994,,,,,,,,,,ENSG00000249035,,,ENSG00000237883
,,,,ENSG00000187688,,,,,,,,,,ENSG00000249180,,,ENSG00000249992
,,,,ENSG00000188536,,,,,,,,,,ENSG00000249207,,,ENSG00000255135
,,,,ENSG00000188783,,,,,,,,,,ENSG00000249252,,,ENSG00000261373
,,,,ENSG00000188906,,,,,,,,,,ENSG00000249593,,,ENSG00000263470
,,,,ENSG00000189129,,,,,,,,,,ENSG00000249835,,,ENSG00000270170
,,,,ENSG00000196616,,,,,,,,,,ENSG00000250116,,,ENSG00000271303
,,,,ENSG00000196730,,,,,,,,,,ENSG00000250568,,,
,,,,ENSG00000197256,,,,,,,,,,ENSG00000250602,,,
,,,,ENSG00000197405,,,,,,,,,,ENSG00000250848,,,
,,,,ENSG00000197766,,,,,,,,,,ENSG00000250906,,,
,,,,ENSG00000198576,,,,,,,,,,ENSG00000251188,,,
,,,,ENSG00000198624,,,,,,,,,,ENSG00000251224,,,
,,,,ENSG00000198682,,,,,,,,,,ENSG00000251666,,,
,,,,ENSG00000198873,,,,,,,,,,ENSG00000251791,,,
,,,,ENSG00000204301,,,,,,,,,,ENSG00000252464,,,
,,,,ENSG00000204305,,,,,,,,,,ENSG00000252481,,,
,,,,ENSG00000206172,,,,,,,,,,ENSG00000253167,,,
,,,,ENSG00000211445,,,,,,,,,,ENSG00000253358,,,
,,,,ENSG00000213088,,,,,,,,,,ENSG00000253607,,,
,,,,ENSG00000213853,,,,,,,,,,ENSG00000253829,,,
,,,,ENSG00000225938,,,,,,,,,,ENSG00000254003,,,
,,,,ENSG00000227051,,,,,,,,,,ENSG00000254099,,,
,,,,ENSG00000236304,,,,,,,,,,ENSG00000254129,,,
,,,,ENSG00000238018,,,,,,,,,,ENSG00000254165,,,
,,,,ENSG00000241399,,,,,,,,,,ENSG00000254281,,,
,,,,ENSG00000241644,,,,,,,,,,ENSG00000254317,,,
,,,,ENSG00000243566,,,,,,,,,,ENSG00000254420,,,
,,,,ENSG00000244734,,,,,,,,,,ENSG00000254595,,,
,,,,ENSG00000249741,,,,,,,,,,ENSG00000254604,,,
,,,,ENSG00000266964,,,,,,,,,,ENSG00000254909,,,
,,,,ENSG00000272789,,,,,,,,,,ENSG00000254911,,,
,,,,,,,,,,,,,,ENSG00000255423,,,
,,,,,,,,,,,,,,ENSG00000255443,,,
,,,,,,,,,,,,,,ENSG00000255445,,,
,,,,,,,,,,,,,,ENSG00000255449,,,
,,,,,,,,,,,,,,ENSG00000255539,,,
,,,,,,,,,,,,,,ENSG00000255585,,,
,,,,,,,,,,,,,,ENSG00000255670,,,
,,,,,,,,,,,,,,ENSG00000255837,,,
,,,,,,,,,,,,,,ENSG00000255968,,,
,,,,,,,,,,,,,,ENSG00000256436,,,
,,,,,,,,,,,,,,ENSG00000256448,,,
,,,,,,,,,,,,,,ENSG00000256594,,,
,,,,,,,,,,,,,,ENSG00000256973,,,
,,,,,,,,,,,,,,ENSG00000257027,,,
,,,,,,,,,,,,,,ENSG00000257279,,,
,,,,,,,,,,,,,,ENSG00000257509,,,
,,,,,,,,,,,,,,ENSG00000257715,,,
,,,,,,,,,,,,,,ENSG00000257831,,,
,,,,,,,,,,,,,,ENSG00000257941,,,
