MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
,,ENSG00000204815,ENSG00000116701,ENSG00000100234,ENSG00000106688,,ENSG00000138316,,,,,,,ENSG00000162601,,,ENSG00000096696
,,ENSG00000213085,ENSG00000122694,ENSG00000100311,ENSG00000106809,,ENSG00000138615,,,,,,,ENSG00000162924,,,ENSG00000099284
,,ENSG00000215187,ENSG00000122852,ENSG00000101265,ENSG00000106991,,ENSG00000142156,,,,,,,ENSG00000163806,,,ENSG00000099901
,,ENSG00000232415,ENSG00000123342,ENSG00000101307,ENSG00000106992,,ENSG00000142173,,,,,,,ENSG00000164292,,,ENSG00000100092
,,ENSG00000234478,ENSG00000124126,ENSG00000102760,ENSG00000107317,,ENSG00000142552,,,,,,,ENSG00000168298,,,ENSG00000100139
,,ENSG00000266964,ENSG00000126264,ENSG00000102934,ENSG00000107742,,ENSG00000142798,,,,,,,ENSG00000169554,,,ENSG00000100162
,,ENSG00000272789,ENSG00000126860,ENSG00000103710,ENSG00000108823,,ENSG00000144810,,,,,,,ENSG00000170092,,,ENSG00000100526
,,,ENSG00000128284,ENSG00000105227,ENSG00000109501,,ENSG00000145423,,,,,,,ENSG00000173559,,,ENSG00000101003
,,,ENSG00000130208,ENSG00000105339,ENSG00000109762,,ENSG00000154096,,,,,,,ENSG00000174501,,,ENSG00000101384
,,,ENSG00000130755,ENSG00000105538,ENSG00000109771,,ENSG00000163017,,,,,,,ENSG00000175106,,,ENSG00000101447
,,,ENSG00000131471,ENSG00000105971,ENSG00000110799,,ENSG00000163359,,,,,,,ENSG00000175893,,,ENSG00000103034
,,,ENSG00000131477,ENSG00000105974,ENSG00000110876,,ENSG00000163520,,,,,,,ENSG00000177688,,,ENSG00000103222
,,,ENSG00000132622,ENSG00000106025,ENSG00000111077,,ENSG00000164692,,,,,,,ENSG00000178440,,,ENSG00000103257
,,,ENSG00000132965,ENSG00000106688,ENSG00000111275,,ENSG00000164932,,,,,,,ENSG00000178852,,,ENSG00000104147
,,,ENSG00000133246,ENSG00000106809,ENSG00000111879,,ENSG00000165617,,,,,,,ENSG00000180139,,,ENSG00000104738
,,,ENSG00000135218,ENSG00000106991,ENSG00000111961,,ENSG00000166033,,,,,,,ENSG00000180189,,,ENSG00000104889
,,,ENSG00000135604,ENSG00000107317,ENSG00000112936,,ENSG00000166147,,,,,,,ENSG00000180747,,,ENSG00000105011
,,,ENSG00000135929,ENSG00000107562,ENSG00000114854,,ENSG00000166923,,,,,,,ENSG00000181722,,,ENSG00000105426
,,,ENSG00000136167,ENSG00000107742,ENSG00000115306,,ENSG00000168542,,,,,,,ENSG00000181800,,,ENSG00000107130
,,,ENSG00000136205,ENSG00000108823,ENSG00000116016,,ENSG00000169604,,,,,,,ENSG00000183604,,,ENSG00000108106
,,,ENSG00000136732,ENSG00000109501,ENSG00000119138,,ENSG00000170801,,,,,,,ENSG00000184260,,,ENSG00000108352
,,,ENSG00000136869,ENSG00000109610,ENSG00000122679,,ENSG00000171812,,,,,,,ENSG00000185495,,,ENSG00000108448
,,,ENSG00000138821,ENSG00000109762,ENSG00000122694,,ENSG00000174807,,,,,,,ENSG00000187187,,,ENSG00000108578
,,,ENSG00000139567,ENSG00000110799,ENSG00000122852,,ENSG00000179954,,,,,,,ENSG00000188206,,,ENSG00000109062
,,,ENSG00000139970,ENSG00000110876,ENSG00000127329,,ENSG00000182871,,,,,,,ENSG00000196912,,,ENSG00000109107
,,,ENSG00000140678,ENSG00000111077,ENSG00000128849,,ENSG00000183160,,,,,,,ENSG00000197714,,,ENSG00000110400
,,,ENSG00000140749,ENSG00000111275,ENSG00000131018,,ENSG00000186340,,,,,,,ENSG00000199477,,,ENSG00000111206
,,,ENSG00000142748,ENSG00000111859,ENSG00000131055,,ENSG00000196562,,,,,,,ENSG00000200087,,,ENSG00000111247
,,,ENSG00000143110,ENSG00000111961,ENSG00000131097,,ENSG00000198542,,,,,,,ENSG00000200090,,,ENSG00000111445
,,,ENSG00000143382,ENSG00000112936,ENSG00000131471,,ENSG00000204262,,,,,,,ENSG00000200534,,,ENSG00000111907
,,,ENSG00000149564,ENSG00000113070,ENSG00000131477,,ENSG00000204291,,,,,,,ENSG00000201302,,,ENSG00000112039
,,,ENSG00000149781,ENSG00000114378,ENSG00000131634,,ENSG00000225614,,,,,,,ENSG00000202058,,,ENSG00000112290
,,,ENSG00000154175,ENSG00000114854,ENSG00000132622,,,,,,,,,ENSG00000202198,,,ENSG00000112312
,,,ENSG00000154721,ENSG00000115306,ENSG00000132965,,,,,,,,,ENSG00000203327,,,ENSG00000112378
,,,ENSG00000155465,ENSG00000116016,ENSG00000133246,,,,,,,,,ENSG00000203709,,,ENSG00000113739
,,,ENSG00000155926,ENSG00000116194,ENSG00000133401,,,,,,,,,ENSG00000203872,,,ENSG00000113838
,,,ENSG00000158270,ENSG00000116701,ENSG00000134020,,,,,,,,,ENSG00000205041,,,ENSG00000114023
,,,ENSG00000159640,ENSG00000118523,ENSG00000135218,,,,,,,,,ENSG00000207720,,,ENSG00000114270
,,,ENSG00000160255,ENSG00000118729,ENSG00000135604,,,,,,,,,ENSG00000208772,,,ENSG00000114346
,,,ENSG00000160883,ENSG00000119138,ENSG00000135929,,,,,,,,,ENSG00000212124,,,ENSG00000114744
,,,ENSG00000163513,ENSG00000119681,ENSG00000136048,,,,,,,,,ENSG00000212125,,,ENSG00000114770
,,,ENSG00000163563,ENSG00000120129,ENSG00000136153,,,,,,,,,ENSG00000212127,,,ENSG00000114859
,,,ENSG00000163815,ENSG00000120738,ENSG00000136160,,,,,,,,,ENSG00000212232,,,ENSG00000114948
,,,ENSG00000163823,ENSG00000122679,ENSG00000136732,,,,,,,,,ENSG00000212283,,,ENSG00000115504
,,,ENSG00000166482,ENSG00000122694,ENSG00000137486,,,,,,,,,ENSG00000212443,,,ENSG00000115902
,,,ENSG00000167588,ENSG00000122852,ENSG00000137507,,,,,,,,,ENSG00000212607,,,ENSG00000115963
,,,ENSG00000168484,ENSG00000123358,ENSG00000137857,,,,,,,,,ENSG00000214439,,,ENSG00000116044
,,,ENSG00000169252,ENSG00000123384,ENSG00000138821,,,,,,,,,ENSG00000215158,,,ENSG00000117394
,,,ENSG00000169442,ENSG00000124126,ENSG00000139567,,,,,,,,,ENSG00000215244,,,ENSG00000117399
,,,ENSG00000169896,ENSG00000124942,ENSG00000142748,,,,,,,,,ENSG00000219355,,,ENSG00000117407
,,,ENSG00000170909,ENSG00000125740,ENSG00000143110,,,,,,,,,ENSG00000222112,,,ENSG00000117595
,,,ENSG00000170989,ENSG00000126218,ENSG00000143416,,,,,,,,,ENSG00000223374,,,ENSG00000120437
,,,ENSG00000171051,ENSG00000127329,ENSG00000144218,,,,,,,,,ENSG00000223442,,,ENSG00000121152
,,,ENSG00000171522,ENSG00000127528,ENSG00000144655,,,,,,,,,ENSG00000223642,,,ENSG00000121552
,,,ENSG00000171860,ENSG00000128016,ENSG00000148158,,,,,,,,,ENSG00000224490,,,ENSG00000121578
,,,ENSG00000173391,ENSG00000128268,ENSG00000149564,,,,,,,,,ENSG00000224505,,,ENSG00000121864
,,,ENSG00000174059,ENSG00000128284,ENSG00000152642,,,,,,,,,ENSG00000224543,,,ENSG00000128274
,,,ENSG00000175084,ENSG00000128567,ENSG00000154065,,,,,,,,,ENSG00000224855,,,ENSG00000128602
,,,ENSG00000175899,ENSG00000128849,ENSG00000154146,,,,,,,,,ENSG00000224891,,,ENSG00000129194
,,,ENSG00000177575,ENSG00000129596,ENSG00000154175,,,,,,,,,ENSG00000225213,,,ENSG00000131153
,,,ENSG00000179820,ENSG00000130176,ENSG00000154330,,,,,,,,,ENSG00000225313,,,ENSG00000134247
,,,ENSG00000182578,ENSG00000130518,ENSG00000154721,,,,,,,,,ENSG00000225408,,,ENSG00000134504
,,,ENSG00000183087,ENSG00000130755,ENSG00000158270,,,,,,,,,ENSG00000225422,,,ENSG00000134690
,,,ENSG00000184730,ENSG00000131018,ENSG00000159640,,,,,,,,,ENSG00000225527,,,ENSG00000135069
,,,ENSG00000186517,ENSG00000131055,ENSG00000163072,,,,,,,,,ENSG00000225602,,,ENSG00000135919
,,,ENSG00000186994,ENSG00000131097,ENSG00000163513,,,,,,,,,ENSG00000225891,,,ENSG00000136002
,,,ENSG00000187116,ENSG00000131471,ENSG00000163815,,,,,,,,,ENSG00000226312,,,ENSG00000136518
,,,ENSG00000187688,ENSG00000131477,ENSG00000165757,,,,,,,,,ENSG00000226318,,,ENSG00000136943
,,,ENSG00000188536,ENSG00000131634,ENSG00000166292,,,,,,,,,ENSG00000226380,,,ENSG00000136997
,,,ENSG00000189129,ENSG00000132622,ENSG00000166482,,,,,,,,,ENSG00000226441,,,ENSG00000137699
,,,ENSG00000196616,ENSG00000132688,ENSG00000167588,,,,,,,,,ENSG00000226648,,,ENSG00000139146
,,,ENSG00000197256,ENSG00000132965,ENSG00000167972,,,,,,,,,ENSG00000226803,,,ENSG00000139173
,,,ENSG00000197405,ENSG00000133026,ENSG00000168309,,,,,,,,,ENSG00000226890,,,ENSG00000139926
,,,ENSG00000197766,ENSG00000133246,ENSG00000168389,,,,,,,,,ENSG00000227176,,,ENSG00000140525
,,,ENSG00000198624,ENSG00000133401,ENSG00000168477,,,,,,,,,ENSG00000227227,,,ENSG00000142945
,,,ENSG00000198873,ENSG00000135218,ENSG00000168484,,,,,,,,,ENSG00000227230,,,ENSG00000143126
,,,ENSG00000204305,ENSG00000135363,ENSG00000168497,,,,,,,,,ENSG00000227409,,,ENSG00000143179
,,,ENSG00000204482,ENSG00000135604,ENSG00000169031,,,,,,,,,ENSG00000227671,,,ENSG00000143228
,,,ENSG00000211445,ENSG00000136114,ENSG00000169252,,,,,,,,,ENSG00000227945,,,ENSG00000143367
,,,ENSG00000225938,ENSG00000136153,ENSG00000169418,,,,,,,,,ENSG00000228060,,,ENSG00000143942
,,,ENSG00000227051,ENSG00000136160,ENSG00000170909,,,,,,,,,ENSG00000228363,,,ENSG00000144476
,,,ENSG00000238018,ENSG00000136205,ENSG00000170989,,,,,,,,,ENSG00000228446,,,ENSG00000145191
,,,ENSG00000242574,ENSG00000136732,ENSG00000172236,,,,,,,,,ENSG00000228663,,,ENSG00000145194
,,,ENSG00000244734,ENSG00000136869,ENSG00000173114,,,,,,,,,ENSG00000228677,,,ENSG00000145386
,,,ENSG00000249741,ENSG00000137486,ENSG00000173269,,,,,,,,,ENSG00000229044,,,ENSG00000145604
,,,ENSG00000266964,ENSG00000137507,ENSG00000173391,,,,,,,,,ENSG00000229097,,,ENSG00000146054
,,,,ENSG00000137726,ENSG00000173482,,,,,,,,,ENSG00000229127,,,ENSG00000146386
,,,,ENSG00000137857,ENSG00000174059,,,,,,,,,ENSG00000229152,,,ENSG00000148600
,,,,ENSG00000138735,ENSG00000175084,,,,,,,,,ENSG00000229325,,,ENSG00000148926
,,,,ENSG00000138772,ENSG00000175899,,,,,,,,,ENSG00000229502,,,ENSG00000149212
,,,,ENSG00000138821,ENSG00000179820,,,,,,,,,ENSG00000229591,,,ENSG00000151725
,,,,ENSG00000139567,ENSG00000184500,,,,,,,,,ENSG00000229598,,,ENSG00000153885
,,,,ENSG00000139970,ENSG00000185303,,,,,,,,,ENSG00000229894,,,ENSG00000154642
,,,,ENSG00000142748,ENSG00000185432,,,,,,,,,ENSG00000230069,,,ENSG00000155380
,,,,ENSG00000142871,ENSG00000186994,,,,,,,,,ENSG00000230084,,,ENSG00000156471
,,,,ENSG00000143110,ENSG00000187678,,,,,,,,,ENSG00000230154,,,ENSG00000156535
,,,,ENSG00000143196,ENSG00000187688,,,,,,,,,ENSG00000230397,,,ENSG00000157193
,,,,ENSG00000143248,ENSG00000188906,,,,,,,,,ENSG00000230551,,,ENSG00000157456
,,,,ENSG00000143382,ENSG00000189129,,,,,,,,,ENSG00000230732,,,ENSG00000160124
,,,,ENSG00000144218,ENSG00000196616,,,,,,,,,ENSG00000230872,,,ENSG00000161202
,,,,ENSG00000144655,ENSG00000196730,,,,,,,,,ENSG00000230953,,,ENSG00000161203
,,,,ENSG00000147526,ENSG00000197256,,,,,,,,,ENSG00000231104,,,ENSG00000161204
